Branch,Location,Latitude,Longitude
부산온천천점,부산광역시 동래구 온천천로 361,35.19389265,129.0930439
가덕휴게소점,부산광역시 강서구 거가대로 2571,35.0230283,128.809618
부산문현,부산광역시 남구 수영로 46-1,35.13611796,129.0723883
부산청사포점,부산광역시 해운대구 청사포로128번길 40,35.16024397,129.1905878
부산수변공원점,부산광역시 수영구 민락수변로 147,35.15683416,129.1344969
부산역광장점,부산광역시 동구 중앙대로196번길 10,35.11431283,129.0403663
김해공항점,부산광역시 강서구 공항진입로 108,35.17273274,128.9457559
부산온천천점,부산광역시 동래구 온천천로 361,35.1938572,129.0929776
마린아이파크점,부산광역시 해운대구 마린시티2로 38,35.15705734,129.1433573
송정2호점,부산광역시 해운대구 송정광어골로 83,35.17405598,129.1966952
센트럴병원점,부산광역시 북구 만덕대로 37,35.21133308,129.0090927
부산송도점,부산광역시 서구 송도해변로 65,35.0748141,129.015819
홈플러스반여점,부산광역시 해운대구 선수촌로21번길 37,35.1966063,129.1157231
부산개금점,부산광역시 부산진구 복지로 70,35.14747098,129.0196623
더파크중앙동광장점,부산광역시 부산진구 새싹로 295-1,35.18428951,129.0443975
부산대영시네마점,부산광역시 중구 비프광장로 37,35.09862208,129.0294952
사상점,부산광역시 사상구 사상로 220,35.16478644,128.9837317
커피장산점,부산광역시 해운대구 양운로 56,35.16846225,129.1769862
주례점,부산광역시 사상구 주례로10번길 106,35.15000459,129.0055583
부산극장점,부산광역시 중구 비프광장로 36,35.09863715,129.0287824
부산당리점,부산광역시 사하구 낙동대로 433,35.10432536,128.9708074
부산극장,부산광역시 해운대구 APEC로 30,35.16579776,129.1350494
부산온천점,부산광역시 동래구 온천장로 91,35.21942986,129.0828964
부산주례점,부산광역시 사상구 주례로10번길 110,35.15007132,129.0051201
해운대백병원점,부산광역시 해운대구 해운대로 875,35.17327898,129.1821932
김해공항국제선점,부산광역시 강서구 공항진입로 108,35.17293945,128.9469878
