Branch,Location,Latitude,Longitude
원주중앙점,강원도 원주시 원일로 97,37.34914156,127.9492717
춘천중앙점,강원도 춘천시 중앙로67번길 3,37.87911589,127.7267968
홍천중앙점,강원도 홍천군 홍천읍 홍천로6길 26,37.69111199,127.8845097
한화워터피아점,강원도 속초시 미시령로2983번길 88,38.20773471,128.5278673
속초점,강원도 속초시 중앙로 136,38.2028668,128.5908353
비발디파크점,강원도 홍천군 서면 한치골길 262,37.65232374,127.6872729
강원인제점,강원도 인제군 인제읍 비봉로 12,38.0681143,128.1724092
강원양구점,강원도 양구군 양구읍 중앙길 9,38.10707328,127.9893808
영월점,강원도 영월군 영월읍 중앙1로 23,37.18299077,128.4652634
원주단관점,강원도 원주시 단구로 369,37.32321971,127.9573681
문막휴게소강릉방면,강원도 원주시 문막읍 원문로 1234,37.33526243,127.8582091
강릉교동점,강원도 강릉시 교동광장로 135,37.76455663,128.8796032
평창알펜시아점,강원도 평창군 대관령면 솔봉로 325,37.65926127,128.6839953
춘천이마트점,강원도 춘천시 경춘로 2341,37.86395609,127.7172604
원주태장점,강원도 원주시 북원로 2706,37.38508621,127.9479037
문막휴게소인천방면,강원도 원주시 문막읍 개나루길 13,37.2977465,127.8170073
혁신점,강원도 원주시 혁신로 37-3,37.32364912,127.9793707
태경산업문막제1영업소,강원도 원주시 문막읍 개나루길 13,37.2977465,127.8170073
동해천곡점,강원도 동해시 대학로 31,37.52327954,129.112165
속초조양점,강원도 속초시 동해대로 4024,38.19021687,128.5944661
춘천퇴계점,강원도 춘천시 행촌로 28,37.85913406,127.7242226
춘천석사점,강원도 춘천시 지석로 75,37.85133007,127.7436945
휘닉스파크점,강원도 평창군 봉평면 태기로 174,37.57374985,128.3095959
춘천후평점,강원도 춘천시 후석로 296,37.87780149,127.7517079
강원인제점,강원도 인제군 인제읍 비봉로 12-1,38.06806913,128.1724889
철원동송점,강원도 철원군 동송읍 금학로 218,38.20804072,127.218428
횡성점,강원도 횡성군 횡성읍 문정로 21,37.48987658,127.9860084
강릉포남점,강원도 강릉시 하평길 38,37.7702159,128.9126667
원주터미널점,강원도 원주시 서원대로 171,37.34481587,127.9307983
구곡점,강원도 원주시 서원대로 392,37.33103784,127.9484488
양양쏠비치점,강원도 양양군 손양면 선사유적로 678,38.08825573,128.666211
춘천강북점,강원도 춘천시 충열로 10-13,37.90016873,127.7289023
무실점,강원도 원주시 능라동길 51,37.33484016,127.9301417
강원태백점,강원도 태백시 황지로 170,37.1736669,128.9912038
홍천중앙로점,강원도 홍천군 홍천읍 홍천로6길 24-1,37.69103991,127.8845211
춘천애막골점,강원도 춘천시 후석로186번길 18,37.86730991,127.754289
화천점,강원도 화천군 화천읍 중앙로 11,38.10481267,127.7055137
원주기업호반점,강원도 원주시 지정면 신지정로 322-1,37.38242546,127.8731504
이마트점,경기도 오산시 경기대로 181,37.1406539,127.0726929
의왕내손점,경기도 의왕시 갈미2로 40,37.37945315,126.971401
파주문산점,경기도 파주시 문산읍 문향로 71,37.8583532,126.7851855
용인신봉점,경기도 용인시 수지구 신봉2로 6,37.32354503,127.077852
평택비전점,경기도 평택시 경기대로 269,36.99468247,127.1129683
북수원홈플러스점,경기도 수원시 장안구 경수대로 930,37.30275747,127.0088017
의왕역점,경기도 의왕시 부곡중앙로 17,37.32111725,126.9508273
안산고잔홈플러스점,경기도 안산시 단원구 광덕대로 175,37.31190903,126.8289265
동탄이마트점,경기도 화성시 동탄중앙로 376,37.21436506,127.0797121
호수공원점,경기도 고양시 일산동구 무궁화로 31-1,37.66274232,126.7674014
의정부중앙점,경기도 의정부시 행복로 1,37.73911552,127.0478284
산본이마트점,경기도 군포시 산본로 347,37.36107719,126.9314079
봉일천점,경기도 파주시 조리읍 고봉로 1033,37.74339254,126.8078194
남양주진건점,경기도 남양주시 진건읍 진건오남로 91,37.65880407,127.1780365
분당야탑점,경기도 성남시 분당구 야탑로81번길 10,37.41059267,127.1281949
광주경안점,경기도 광주시 중앙로 118-1,37.4102993,127.2581838
일산중산점,경기도 고양시 일산동구 고양대로 739,37.68287654,126.7783373
동탄능동마을,경기도 화성시 동탄지성로 125,37.208852,127.0615506
파주교하점,경기도 파주시 청석로 260,37.72509352,126.7177167
이매점,경기도 성남시 분당구 양현로94번길 21,37.39097175,127.1263668
부천심곡점,경기도 부천시 부천로 38,37.4877085,126.7838184
시흥삼미,경기도 시흥시 수인로 3376,37.4412173,126.7840627
하남시청점,경기도 하남시 대청로 26,37.54044189,127.215073
용인강남대점,경기도 용인시 기흥구 강남동로 6,37.27142576,127.12775
위례창곡점,경기도 성남시 수정구 위례동로 141,37.47263742,127.150052
부천고강점,경기도 부천시 역곡로 481,37.52760719,126.8158217
안성공도점,경기도 안성시 공도읍 공도2로 14,36.99974448,127.1699503
망포점,경기도 수원시 영통구 태장로 84,37.23895481,127.0555198
송탄신장점,경기도 평택시 쇼핑로 17-2,37.08101237,127.0514656
문산홈플러스점,경기도 파주시 문산읍 방촌로 1759,37.86972167,126.7849989
남양주오남점,경기도 남양주시 오남읍 진건오남로 800,37.69810776,127.2030378
남양주진접점,경기도 남양주시 진접읍 해밀예당3로 61,37.7151198,127.197797
일산장항호수점,경기도 고양시 일산동구 정발산로 23,37.65671016,126.7712977
시흥장곡점,경기도 시흥시 진말로9번길 15,37.37808868,126.7839536
화성봉담이마트점,경기도 화성시 봉담읍 효행로 278,37.22253679,126.9721837
용인성복점,경기도 용인시 수지구 성복2로 100,37.31546013,127.0752657
오산터미널점,경기도 오산시 대원로 2,37.14628153,127.0686956
수원북문점,경기도 수원시 장안구 정조로 931,37.29043352,127.0123807
평택역사1호점,경기도 평택시 평택로 51,36.99188873,127.083287
성남태평역점,경기도 성남시 수정구 수정로 71,37.44013114,127.1283722
수원파장점,경기도 수원시 장안구 장안로 262,37.30548131,126.9920372
남양주퇴계원점,경기도 남양주시 퇴계원읍 퇴계원로 51,37.65143678,127.1417967
용인경찰대점,경기도 용인시 기흥구 구성로 94,37.29396482,127.1195948
화성향남홈플러스점,경기도 화성시 향남읍 향남로 402,37.13072725,126.9218483
수원오목천점,경기도 수원시 권선구 삼천병마로 1591,37.24457355,126.9634649
안산월피점,경기도 안산시 상록구 예술광장1로 46,37.32935034,126.8469355
동탄홈플러스점,경기도 화성시 동탄중앙로 200,37.20276478,127.068937
고양능곡점,경기도 고양시 덕양구 지도로 100,37.62608153,126.8240375
부천소풍뉴코아점,경기도 부천시 송내대로 239,37.50413128,126.7566909
운정해솔마을점,경기도 파주시 미래로602번길 3,37.73129617,126.7516429
구리수택점,경기도 구리시 원수택로 4,37.59271757,127.1395726
고양신원마을점,경기도 고양시 덕양구 권율대로 904,37.66370101,126.8912229
진접홈플러스,경기도 남양주시 진접읍 금강로 1447,37.72174241,127.1885828
고양행신햇빛점,경기도 고양시 덕양구 중앙로558번길 13,37.62436922,126.8358119
파주봉일천점,경기도 파주시 조리읍 봉천로 35,37.74353587,126.8077377
안양관악역,경기도 안양시 만안구 경수대로 1261,37.41988472,126.9091642
송탄홈플러스점,경기도 평택시 경기대로 1103,37.04498615,127.0594684
수지이마트점,경기도 용인시 수지구 수지로 203,37.31973082,127.0833142
군포당정점,경기도 군포시 고산로151번길 6,37.34807778,126.9549443
별내신안점,경기도 남양주시 별내5로5번길 11,37.65026597,127.1126406
고양터미널홈플러스점,경기도 고양시 일산동구 중앙로 1036,37.64316834,126.7896391
안산반월점,경기도 안산시 상록구 건건로 38,37.30467126,126.9020097
송내남부역사점,경기도 부천시 송내대로 41-1,37.48740403,126.7528862
용인1호점,경기도 용인시 처인구 금령로 99-1,37.23573421,127.2073676
대화역점,경기도 고양시 일산서구 중앙로 1568,37.67636743,126.7479048
안산월드점,경기도 안산시 단원구 고잔1길 49,37.31836129,126.839048
신흥사거리점,경기도 성남시 수정구 산성대로 249,37.440179,127.1447915
하남신장점,경기도 하남시 신장로 133,37.53826468,127.2034635
별내이마트점,경기도 남양주시 순화궁로 167,37.64280564,127.1259529
진접이마트점,경기도 남양주시 진접읍 금강로유연들1길 154,37.70882123,127.1820096
파주운정아파트점,경기도 파주시 한울로 123,37.71037741,126.7450871
성남태평이마트점,경기도 성남시 수정구 수정로 201,37.44428131,127.1413996
수원화서사거리점,경기도 수원시 팔달구 동말로 65,37.27890606,127.0013339
수원영통2점,경기도 수원시 영통구 봉영로 1606,37.25386442,127.0744747
분당정자파라곤점,경기도 성남시 분당구 정자일로 230,37.37031468,127.1064874
파주운정홈플러스,경기도 파주시 청암로17번길 17,37.72956068,126.7367432
상동남부점,경기도 부천시 상동로 79,37.50425666,126.7523458
이천현대점,경기도 이천시 부발읍 경충대로 2091,37.25054818,127.4826424
별내북부점,경기도 남양주시 별내3로 328,37.66668184,127.1173078
평택역점,경기도 평택시 평택1로9번길 1,36.99297915,127.0868014
CAFE31수원역사점,경기도 수원시 팔달구 덕영대로 924,37.26566759,127.0000881
수원호매실점,경기도 수원시 권선구 금곡로 100,37.27386975,126.9412789
용인구성1점,경기도 용인시 기흥구 용구대로 2398,37.30029729,127.1072712
덕소롯데점,경기도 남양주시 와부읍 월문천로 33,37.58469467,127.2139972
용인새터점,경기도 용인시 수지구 현암로 128,37.33147004,127.1234905
기흥휴게소부산방면,경기도 용인시 기흥구 공세로 173,37.23636925,127.1043065
분당시범점,경기도 성남시 분당구 돌마로 481,37.37774661,127.1328547
김포양곡점,경기도 김포시 양촌읍 양곡2로 50,37.65566505,126.6274901
장호원점,경기도 이천시 장호원읍 장터로 45-13,37.11655058,127.6294683
창전점,경기도 이천시 서희로59번길 12,37.28102017,127.4421412
파주금촌역점,경기도 파주시 문화로 113,37.76424789,126.774174
용인성복점,경기도 용인시 수지구 수지로113번길 12,37.31324475,127.0777409
남양주장현점,경기도 남양주시 진접읍 봉현로 32,37.71635602,127.1797263
수원남문2호점,경기도 수원시 팔달구 행궁로 70,37.2764396,127.0156193
평택포승점,경기도 평택시 포승읍 여술로 20,36.98770825,126.8448452
산본점,경기도 군포시 산본로323번길 22,37.3587901,126.9315871
용인신봉점,경기도 용인시 수지구 신봉2로 2,37.32315883,127.0780147
안양비산점,경기도 안양시 동안구 관악대로 129,37.39918327,126.9384117
일산백석역,경기도 고양시 일산동구 일산로 46,37.64234819,126.7878621
광명신촌,경기도 광명시 하안로 112,37.44835712,126.8916289
남양주덕소점,경기도 남양주시 와부읍 덕소로 88,37.58636638,127.2120094
성남하나로점,경기도 성남시 분당구 성남대로43번길 11,37.33876008,127.1066582
역곡남부점,경기도 부천시 경인로 517,37.48485526,126.8124602
과천점,경기도 과천시 별양상가1로 35,37.42853563,126.9935533
안산원곡점,경기도 안산시 단원구 라성로 36,37.32717657,126.8004924
의정부망월사역점,경기도 의정부시 평화로 187,37.70856206,127.0478566
행신서정,경기도 고양시 덕양구 중앙로 438,37.61798885,126.8467062
마장휴게소하남방면,경기도 이천시 마장면 중부고속도로 82,37.26274441,127.4084757
인덕원점,경기도 안양시 동안구 흥안대로 523,37.40071565,126.9762833
상동북부점,경기도 부천시 송내대로265번길 85,37.50734559,126.7539004
시흥능곡,경기도 시흥시 능곡로 188,37.36838256,126.8103585
안산초지점,경기도 안산시 단원구 초지로 114,37.30879066,126.8152802
분당서현점,경기도 성남시 분당구 서현로 184,37.3883665,127.1237771
수원천천점,경기도 수원시 장안구 만석로19번길 25-3,37.29631451,126.983283
군포당동점,경기도 군포시 고산로250번길 1,37.34636348,126.9445394
안산롯데마트점,경기도 안산시 상록구 항가울로 410,37.31682824,126.846292
분당중탑점,경기도 성남시 분당구 벌말로 37,37.41134932,127.1379914
일산덕이점,경기도 고양시 일산서구 하이파크3로78번길 1,37.69872341,126.7531986
시흥은계점,경기도 시흥시 은계번영길 9,37.43750406,126.8016151
고양트레이더스점,경기도 고양시 덕양구 고양대로 1955,37.6468764,126.8947932
고양행신역점,경기도 고양시 덕양구 충장로 18,37.61438123,126.8344272
수원정자점,경기도 수원시 장안구 대평로 72,37.29479264,126.9939393
용인기흥역점,경기도 용인시 기흥구 기흥역로 16,37.27361743,127.1146675
신영통점,경기도 화성시 영통로61번길 6,37.23546838,127.0612884
서현로데오점,경기도 성남시 분당구 서현로210번길 20,37.3858543,127.1240209
중동롯데점,경기도 부천시 길주로 300,37.50253263,126.7752992
서부역점,경기도 의정부시 시민로 75,37.73861305,127.0436369
수원하나로점,경기도 수원시 권선구 서부로 1937,37.28300603,126.9666932
포천점,경기도 포천시 중앙로 129,37.89786713,127.2034813
김포중앙점,경기도 김포시 사우중로 88,37.62214956,126.7214808
화성봉담점,경기도 화성시 봉담읍 동화길 85,37.21691942,126.9583675
김포고촌점,경기도 김포시 고촌읍 김포대로 334,37.60071908,126.7711094
삼송점,경기도 고양시 덕양구 삼송로 92,37.65083263,126.8843429
안양역점,경기도 안양시 만안구 태평로 183,37.4042801,126.9211374
양평시장점,경기도 양평군 양평읍 양평시장길 2,37.48957329,127.4929401
안양역점,경기도 안양시 만안구 만안로 214-1,37.39997832,126.9236951
