Branch,Location,Latitude,Longitude
동부산관광단지점,부산광역시 기장군 기장읍 기장해안로 128,35.19011173,129.2136751
카페드롭탑국제여객터미널,부산광역시 동구 충장대로 206,35.11995513,129.049829
부산화명점,부산광역시 북구 금곡대로303번길 25,35.23543854,129.0120498
부전동점,부산광역시 부산진구 중앙대로 747,35.15939243,129.0600383
덕천우창웰스점,부산광역시 북구 기찰로 164,35.21407443,129.0229218
남천동점,부산광역시 수영구 황령대로473번길 15,35.14010871,129.1067435
부산프리미엄아울렛점,부산광역시 기장군 장안읍 정관로 1133,35.32374828,129.2349705
서면점,부산광역시 부산진구 중앙대로691번가길 5,35.15461538,129.0558715
하단아트몰링점,부산광역시 사하구 낙동남로 1413,35.10682916,128.9665592
부산역사점,부산광역시 동구 중앙대로 206,35.11762547,129.0450818
부산동아대점,부산광역시 사하구 낙동대로550번길 24,35.11309379,128.9654484
카페드롭탑정관,부산광역시 기장군 정관읍 정관7로 17-3,35.32197414,129.1769852
드롭탑덕천점,부산광역시 북구 기찰로 164,35.21407443,129.0229218
부산국제여객터미널점,부산광역시 동구 충장대로 168,35.11768338,129.0467281
부산연산역점,부산광역시 연제구 반송로 6,35.18624486,129.082456
청주성안길점,충청북도 청주시 상당구 상당로 47,36.63263523,127.4903701
충주코레스코점,충청북도 충주시 수안보면 주정산로 49,36.84575108,127.9878086
충북옥천점,충청북도 옥천군 옥천읍 삼금로4길 6,36.30156202,127.5670772
충주휴게소양평방면,충청북도 충주시 중앙탑면 중부내륙고속도로 230-1,37.02405585,127.8379973
천안안서점,충청남도 천안시 동남구 각원사길 146,36.83111059,127.186708
공주법원점,충청남도 공주시 한적2길 39,36.47785833,127.1399969
드롭탑천안성정,충청남도 천안시 서북구 성정두정로 12,36.82656641,127.1415135
정안휴게소드롭탑,충청남도 공주시 정안면 논산천안고속도로 57,36.57079301,127.112008
정안알밤휴게소순천방면,충청남도 공주시 정안면 논산천안고속도로 57,36.57079301,127.112008
대천휴게소서울방면,충청남도 보령시 주교면 서해안고속도로 200,36.37436401,126.5583519
대천휴게소목포방면,충청남도 보령시 주교면 서해안고속도로 199,36.37301723,126.5557803
모다아울렛천안아산점,충청남도 천안시 서북구 공원로 196,36.79892256,127.1017729
보림로지스틱스천안이엑스,충청남도 천안시 동남구 쉼1길 42,36.78706236,127.1737625
금산인삼랜드휴게소통영방면,충청남도 금산군 군북면 어필각로 300,36.15382271,127.4951418
동대구역사점,대구광역시 동구 동대구로 550,35.87909757,128.6287261
대구호림점,대구광역시 달서구 달서대로 435,35.83818617,128.4914989
대구메가맥스타워점,대구광역시 동구 팔공로49길 51,35.92068242,128.6359251
롯데마트대구율하점,대구광역시 동구 안심로 80,35.86847601,128.693344
대구시지신매점,대구광역시 수성구 달구벌대로 3300-1,35.83628897,128.716552
동촌유원지점,대구광역시 동구 효동로6길 86,35.88152566,128.6517375
대구병원점,대구광역시 북구 학정로 515,35.95083912,128.5640261
대구반월당메디스퀘어점,대구광역시 중구 달구벌대로 2094,35.86529267,128.5926078
홈플러스대구내당점,대구광역시 서구 달구벌대로 1821,35.86033004,128.5637496
논공휴게소광주방면,대구광역시 달성군 논공읍 광주대구고속도로 169,35.7670318,128.402519
동촌홈플러스점,대구광역시 동구 동촌로 127,35.88618207,128.6556743
논공드롭탑,대구광역시 달성군 논공읍 광주대구고속도로 170,35.76576868,128.4028886
영풍문고대구백화점점,대구광역시 중구 동성로 30,35.86931478,128.5958048
홈플러스대구상인점,대구광역시 달서구 월배로 183,35.81829008,128.5325657
대구명덕역점,대구광역시 중구 중앙대로 271,35.85768587,128.5907021
대구두산위브더제니스점,대구광역시 수성구 달구벌대로 2435,35.86100137,128.6282843
롯데슈퍼대구수성점,대구광역시 수성구 수성로 227,35.84562958,35.84562958
경북대학교북문점,대구광역시 북구 대학로 77,35.89236006,35.89236006
신암점,대구광역시 동구 신암로18길 1,35.87810886,128.6124938
덕명점,대전광역시 유성구 현충원로 288,36.36000662,127.3034748
한밭대점,대전광역시 유성구 학하중앙로 5,36.34898451,127.297334
대전을지병원점,대전광역시 서구 대덕대로234번길 24,36.35334912,127.380913
대전은행동점,대전광역시 중구 중앙로164번길 42,36.32753118,127.428543
대전오류점,대전광역시 중구 오류로 24,36.32268484,127.4050229
대전만인산점,대전광역시 동구 산내로 190,36.20483826,127.4430144
신탄진휴게소점,대전광역시 대덕구 산업단지로 27,36.42812529,127.4185725
가온산업개발드롭탑만인산점,대전광역시 동구 산내로 190,36.20483826,127.4430144
대흥동점,대전광역시 중구 중앙로138번길 17,36.32764358,127.4256685
신탄진상휴게소드롭탑커피코너,대전광역시 대덕구 산업단지로 27,36.42812529,127.4185725
카이스트점,대전광역시 유성구 대학로 291,36.36817525,127.3571373
신성점,대전광역시 유성구 유성대로1184번길 11-27,36.39496455,127.352937
월평점,대전광역시 서구 계룡로264번길 41,36.35320881,127.3611042
대전세이브존점,대전광역시 서구 둔산로 201,36.35510448,127.3981468
관평점,대전광역시 유성구 테크노1로 12-14,36.43056662,127.387717
속초엑스포점,강원도 속초시 엑스포로 45,38.19102365,128.5863217
드롭탑동해휴게소하행점,강원도 동해시 동해대로 6437,37.60185053,129.0741497
속초점,강원도 속초시 엑스포로 51,38.19103596,128.5856597
강릉항점,강원도 강릉시 창해로14번길 51-20,37.77238144,128.9510142
드롭탑속초엑스포점,강원도 속초시 엑스포로 51,38.19103596,128.5856597
삼척해변점,강원도 삼척시 테마타운길 19,37.46668893,129.1705159
원주법원점,강원도 원주시 능라동길 61,37.33414693,127.9312144
강원양구점,강원도 양구군 양구읍 양록길 102,38.10635251,127.9896318
서창산업옥계휴게소,강원도 강릉시 옥계면 동해고속도로 320,37.61631303,129.0600969
문막휴게소강릉방면,강원도 원주시 문막읍 원문로 1234,37.33526243,127.8582091
횡성휴게소인천방면,강원도 횡성군 안흥면 영동고속도로 154,37.4625608,128.1345414
원주기업도시점,강원도 원주시 지정면 신지정로 202,37.37452414,127.8744509
강릉안목해변점,강원도 강릉시 창해로14번길 16,37.77291059,128.9468438
광주하남2지구점,광주광역시 광산구 용아로399번길 51,35.17712818,126.8031551
광주롯데시네마충장점,광주광역시 동구 충장로안길 12,35.1480442,126.9145434
풍암호수점,광주광역시 서구 회재로 970,35.12529337,126.8692263
두암점,광주광역시 북구 동문대로 146,35.17559833,126.9275487
금호점,광주광역시 서구 금화로 59,35.13225795,126.8554476
광주호남대점,광주광역시 광산구 호남대길 90,35.15003754,126.7667761
용봉점,광주광역시 북구 용봉택지로 51,35.17876805,126.892145
양산점,광주광역시 북구 양산제로 3,35.19994725,126.8751657
광주학동점,광주광역시 동구 남문로 716-5,35.1344699,126.9277811
쌍암공원점,광주광역시 광산구 첨단중앙로182번길 24,35.22167578,126.8441538
광주패밀리랜드점,광주광역시 북구 우치로 677,35.22430715,126.8942616
광주송정점,광주광역시 광산구 송정로 55,35.13520854,126.7971305
광주첨단2지구점,광주광역시 북구 첨단연신로108번길 120,35.20940408,126.8646896
드롭탑광주학동점,광주광역시 동구 남문로 716-5,35.1344699,126.9277811
광주롯데시네마충장점,광주광역시 동구 충장로안길 12,35.1480442,126.9145434
M광주상무중앙,광주광역시 서구 상무중앙로 57,35.15211578,126.8478712
롯데마트월드컵점,광주광역시 서구 금화로 240,35.13363859,126.8748605
전대후문,광주광역시 북구 우치로 92,35.17557447,126.9127395
광주한국병원점,광주광역시 서구 월드컵4강로 223,35.15587851,126.8683752
전남대의대점,광주광역시 동구 백서로 160,35.14315556,126.9232887
광주상무중앙점,광주광역시 서구 상무중앙로 57,35.15211578,126.8478712
광주매월점,광주광역시 서구 전평길 41,35.11764316,126.8474901
부천역점1,경기도 부천시 부일로 448,37.48596736,126.7801152
시흥배곧점,경기도 시흥시 배곧4로 6,37.37857941,126.7253113
서창산업이천하휴게소카페드롭탑,경기도 이천시 마장면 중부대로609번길 244-35,37.26456741,127.403636
구리휴게소일산방면,경기도 구리시 수도권제1순환고속도로 32,37.62778465,127.1393498
미캄슈즈,경기도 고양시 일산서구 대화로 362,37.68358605,126.7463549
김포사우점,경기도 김포시 돌문로 50-12,37.61994068,126.7180298
드롭탑일산대화점,경기도 고양시 일산서구 대산로 360,37.68530075,126.7415417
용인수지구청점,경기도 용인시 수지구 수지로296번길 51-10,37.3216882,127.0952841
우림개발용인하휴게소카페드롭탑,경기도 용인시 처인구 주북로94번길 30-1,37.24551473,127.2423198
용인휴게소인천방면,경기도 용인시 처인구 주북로 66-16,37.24808467,127.2369849
용인휴게소강릉방면,경기도 용인시 처인구 주북로94번길 30-1,37.24551473,127.2423198
롯데마트영통점,경기도 수원시 영통구 봉영로 1579,37.25273395,127.0716479
양주휴게소점,경기도 양주시 장흥면 수도권제1순환고속도로 58,37.67919244,126.9157628
하나로마트고양점,경기도 고양시 일산서구 대화로 362,37.68358605,126.7463549
일산대화점,경기도 고양시 일산서구 대산로 360,37.68524537,126.7414179
남양주별내점,경기도 남양주시 별내2로 74,37.64687513,127.1255199
가운점,경기도 남양주시 경춘로 368,37.60460116,127.1556199
매송하휴게소카페드롭탑,경기도 화성시 매송면 서해안고속도로 315,37.26441939,126.8884115
시흥시화병원점,경기도 시흥시 군자천로 381,37.34994282,126.7369583
파주야당점,경기도 파주시 소리천로8번길 60,37.71142798,126.7600741
이천휴게소통영방면,경기도 이천시 마장면 중부대로609번길 244-35,37.26456741,127.403636
안성휴게소부산방면,경기도 안성시 원곡면 경부고속도로 365,37.01357794,127.1447072
여주휴게소인천방면,경기도 여주시 가남읍 화평길 116,37.23980644,127.567969
