Branch,Location,Latitude,Longitude
김해공항국제선1호점,부산광역시 강서구 공항진입로 108,35.17273274,128.9457559
김해공항국제선2호점,부산광역시 강서구 공항진입로 108,35.17273274,128.9457559
센텀시티홈플러스점,부산광역시 해운대구 센텀동로 6,35.1709301,129.1337156
서면역점,부산광역시 부산진구 중앙대로 717,35.1552537,129.0591615
서면점,부산광역시 부산진구 동천로 92,35.15704958,129.0630372
기장정관점,부산광역시 기장군 정관읍 정관로 383,35.33514621,129.1654835
부산역점,부산광역시 동구 중앙대로 206,35.11762547,129.0450818
하단점,부산광역시 사하구 하신중앙로 350,35.10559706,128.9684642
부산하단역사,부산광역시 사하구 낙동남로 1415,35.10620051,128.9662666
부산사상역사,부산광역시 사상구 광장로 83,35.16233559,128.984723
구포역점,부산광역시 북구 구포만세길 82,35.20621487,128.998014
부산메리츠타워점,부산광역시 동구 중앙대로 331,35.12596961,129.0454078
부산반여점,부산광역시 해운대구 선수촌로 78,35.2006558,129.1193804
부산부전역점,부산광역시 부산진구 부전로 181,35.16405737,129.0605269
장안휴게소점,부산광역시 기장군 장안읍 동해고속도로 25,35.3775402,129.2464207
해운대역사점,부산광역시 해운대구 해운대로 626,35.16366107,129.1588936
김해공항국내선점,부산광역시 강서구 공항진입로 108,35.17273274,128.9457559
동래점,부산광역시 동래구 충렬대로 358,35.19773652,129.0975867
홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,35.19128415,129.0620335
부산대병원점,부산광역시 서구 구덕로 179,35.10107033,129.0192487
바이에프씨몰점,부산광역시 남구 문현금융로 40,35.14650531,129.0658851
부산대동병원점,부산광역시 동래구 충렬대로 187,35.20474253,129.0802963
홈플러스기장정관점,부산광역시 기장군 정관읍 정관5로 50,35.3230704,129.1764072
사상터미널점,부산광역시 사상구 사상로 201,35.16316794,128.9810119
부산부민병원점,부산광역시 북구 만덕대로 59,35.21198217,129.0112424
NC서면점,부산광역시 부산진구 동천로 92,35.15704958,129.0630372
부산국제빌딩점,부산광역시 연제구 중앙대로 1217,35.19602599,129.0793024
광안리수변공원,부산광역시 수영구 광안해변로326번길 31,35.15531077,129.1296795
괴정점,부산광역시 사하구 사하로 189,35.09848054,128.9935186
연산점,부산광역시 연제구 좌수영로 241,35.18502896,129.1121941
부산구서점,부산광역시 금정구 구서로 20,35.24689352,129.089074
기장일관신도시점,부산광역시 기장군 일광면 해빛2로 21,35.2690544,129.2260838
던킨부산명지오션시티점,부산광역시 강서구 명지오션시티4로 70,35.08279868,128.9032765
부산명지국제신도시점,부산광역시 강서구 명지국제8로 245,35.09843078,35.09843078
죽암휴게소부산방면,충청북도 청주시 서원구 현도면 경부고속도로 289,36.4869641,127.4291935
청주터미널점,충청북도 청주시 흥덕구 풍산로 6,36.62532236,127.4316969
충북보은점,충청북도 보은군 보은읍 보은로 101,36.48303908,127.7179177
하소,충청북도 제천시 용두대로15가길 3,37.13974171,128.2000524
청주비행단점,충청북도 청주시 청원구 내수읍 내수로 385,36.7060011,127.5071896
속리산휴게소청주방면,충청북도 보은군 마로면 적암길 56-18,36.44771037,127.869022
충주호암점,충청북도 충주시 호암토성2로 7,36.95580413,127.9350034
청주하나로점,충청북도 청주시 상당구 무농정로 28,36.60464263,127.5072986
청주대점,충청북도 청주시 청원구 직지대로 880,36.65080928,127.4874878
청주가경점,충청북도 청주시 흥덕구 가경로 9-1,36.61653771,127.4436116
청주가경홈플러스점,충청북도 청주시 흥덕구 서부로 1291,36.61543179,127.4422333
충주호암점,충청북도 충주시 호암토성2로 7,36.95580413,127.9350034
청주터미널점,충청북도 청주시 흥덕구 풍산로 6,36.62532236,127.4316969
대보유통괴산마산방향휴게소,충청북도 괴산군 장연면 중부내륙고속도로 205,36.83141532,127.9578668
충북금왕점,충청북도 음성군 금왕읍 무극로 277,36.99295346,127.5924559
충북도청점,충청북도 청주시 상당구 상당로 73,36.63474415,127.4903898
충북진천점,충청북도 진천군 진천읍 상산로 81,36.85474758,127.4430451
충북오창,충청북도 청주시 청원구 오창읍 오창대로 315,36.71148558,127.427761
충북대병원점,충청북도 청주시 서원구 1순환로 776,36.62428141,127.4617692
건국대충주병원점,충청북도 충주시 국원대로 82,36.97932127,127.9290639
충북혁신점,충청북도 음성군 맹동면 대하2나길 6,36.90700365,127.5414841
청주신봉점,충청북도 청주시 흥덕구 사운로 303,36.65406964,127.4705434
천안휴게소부산방면,충청남도 천안시 동남구 수신면 성남로 793-40,36.73008189,127.2645554
천안신불당점,충청남도 천안시 서북구 불당26로 122,36.81965861,127.1077963
천안쌍용점,충청남도 천안시 서북구 봉명로 34,36.80717812,127.1322377
당진기지시점,충청남도 당진시 서해로 6275,36.90296285,126.6833588
망향휴게소점,충청남도 천안시 서북구 성거읍 돌다리길 23-37,36.85601704,127.1812072
충남태안점,충청남도 태안군 태안읍 후곡로 132,36.74813042,126.3051684
아산배방점,충청남도 아산시 배방읍 모산로 97,36.77418905,127.053411
천안백석점,충청남도 천안시 서북구 한들3로 78-3,36.83075475,127.1239337
행담휴게소,충청남도 당진시 신평면 서해안고속도로 275,36.94513594,126.8071263
서산동문점,충청남도 서산시 고운로 251,36.78415654,126.4630608
롯데마트점,대구광역시 동구 안심로 80,35.86847601,128.693344
영대병원점,대구광역시 남구 현충로 170,35.84768598,128.5841849
대구남산점,대구광역시 중구 달구벌대로 1960,35.86313672,128.5781751
대구대현프리몰점,대구광역시 중구 국채보상로 580,35.87091313,128.5951966
연경점,대구광역시 북구 연경지묘로 6,35.94247632,128.6151292
본리점,대구광역시 달서구 장기로 193,35.84336192,128.539342
대구올브랜점,대구광역시 북구 유통단지로14길 22,35.90523128,128.6103762
대구롯데마트점,대구광역시 동구 안심로 80,35.86847601,128.693344
영플라자점,대구광역시 중구 국채보상로 585,35.87139306,128.5947462
두류역사점,대구광역시 달서구 달구벌대로 1696-1,35.85756015,128.5566218
KT대구타워점,대구광역시 중구 동덕로 167,35.86969063,128.6035702
대백프라자점,대구광역시 중구 명덕로 333,35.85572402,128.6063761
대구은행역점,대구광역시 수성구 수성로 377,35.8591922,128.6138541
대구칠곡점,대구광역시 북구 학정로 435,35.94356885,35.94356885
한영아동병원점,대구광역시 남구 월배로 468,35.8346514,128.5559748
대구동성로점,대구광역시 중구 동성로6길 21,35.86904906,128.5966776
대구역사점,대구광역시 중구 태평로 161,35.87589275,128.5961419
대구만촌점,대구광역시 수성구 교학로 48,35.85097932,128.6518528
대구대실점,대구광역시 달성군 다사읍 달구벌대로 873,35.85837299,128.4650726
대구범물역점,대구광역시 수성구 지범로 181,35.82169046,128.639329
대구대곡점,대구광역시 달서구 도원로 17,35.80812523,128.5361272
대전터미널서관점,대전광역시 동구 동서대로 1689,36.35024543,127.4366996
지족점,대전광역시 유성구 지족북로66번길 60,36.38814253,127.3079835
대전역,대전광역시 동구 중앙로 215,36.33439772,127.432113
세이점,대전광역시 중구 계백로 1700,36.32063071,127.4088028
