Branch,Location,Latitude,Longitude
부산구서점,부산광역시 금정구 중앙대로1841번길 24,35.2499623,129.0906204
부산송도점,부산광역시 서구 송도해변로 81,35.07615054,129.0166141
신세계센텀점,부산광역시 해운대구 센텀남대로 35,35.1686566,129.1291066
롯데백화점부산점,부산광역시 부산진구 가야대로 772,35.15680985,129.0564377
롯데마트광복점,부산광역시 중구 중앙대로 2,35.09832607,129.0367302
부산동대신동점,부산광역시 서구 구덕로 316,35.11205935,129.0169941
롯데프리미엄아울렛 공차,부산광역시 기장군 기장읍 기장해안로 147,35.19222964,129.2128062
부산사직점,부산광역시 동래구 사직북로 12,35.196964,129.0608776
공차코리아부산해운대엔시,부산광역시 해운대구 해운대로 813,35.17059747,129.1770938
부산광복점,부산광역시 중구 광복로 77-1,35.09867853,129.0334553
동아대구덕점,부산광역시 서구 보수대로320번길 95,35.12090496,129.0166542
기장정관점,부산광역시 기장군 정관읍 정관7로 9-4,35.32208592,129.1766129
NC백화점부산대점,부산광역시 금정구 부산대학로63번길 2,35.23210369,129.0838558
홈플러스해운대점,부산광역시 해운대구 해운대해변로 140,35.15841562,129.1465154
메가마트남천점,부산광역시 수영구 황령대로 521,35.13727529,129.1110176
부산영도점,부산광역시 영도구 태종로 101,35.09151984,129.0420618
부산화명점,부산광역시 북구 화명대로 31,35.23521661,129.0116405
엔씨서면점,부산광역시 부산진구 동천로 92,35.15704958,129.0630372
명지국제신도시점,부산광역시 강서구 명지국제8로 245,35.09843078,128.919857
부산동아대부민점,부산광역시 서구 구덕로 220,35.10418921,129.0203186
부산남포점,부산광역시 중구 비프광장로 27,35.09893012,129.0282487
부산대점,부산광역시 금정구 금정로68번길 22,35.23046484,129.0876899
부산장산역점,부산광역시 해운대구 해운대로 814,35.16969024,35.16969024
부산사상터미널점,부산광역시 사상구 사상로 201,35.16316794,128.9810119
부산롯데월드어드벤처,부산광역시 기장군 기장읍 동부산관광로 42,35.1963218,129.214852
현대백화점충청점,충청북도 청주시 흥덕구 직지대로 308,36.64486295,127.4265543
청주하복대점,충청북도 청주시 흥덕구 진재로 49,36.63558451,127.4292621
현대백화점충청점,충청북도 청주시 흥덕구 대농로 17,36.64273813,127.4251051
충북대점,충청북도 청주시 서원구 1순환로672번길 64,36.63219051,127.4570178
청주강서점,충청북도 청주시 흥덕구 강서로 118,36.62474522,127.4297333
청주가경점,충청북도 청주시 흥덕구 가경로 10,36.61701711,127.4439883
충북증평점,충청북도 증평군 증평읍 중앙로 211,36.78473578,127.581797
청주봉명점,충청북도 청주시 흥덕구 백봉로 221,36.64948086,127.4601399
제천중앙점,충청북도 제천시 풍양로13길 14,37.13848715,128.211564
청주지웰시티점,충청북도 청주시 흥덕구 대농로 47,36.64233565,127.4276131
청주금천점,충청북도 청주시 상당구 산성로92번길 5,36.63110526,127.5036751
NC청주점,충청북도 청주시 흥덕구 2순환로 1233,36.62621186,127.4311313
충주성서점,충청북도 충주시 성서3길 16,36.9709152,127.9322052
충북괴산점,충청북도 괴산군 괴산읍 읍내로 286,36.80852634,127.7945977
충북진천점,충청북도 진천군 진천읍 중앙동로 69,36.85613489,127.4448629
청주테크노폴리스점,충청북도 청주시 흥덕구 송화로166번길 7-21,36.6671931,36.6671931
충북옥천점,충청북도 옥천군 옥천읍 금장로 51,36.3009049,36.3009049
천안청수점,충청남도 천안시 동남구 청수5로 4,36.78328053,127.1549589
천안쌍용점,충청남도 천안시 서북구 월봉로 79,36.79781517,127.1175632
천안역점,충청남도 천안시 동남구 대흥로 239,36.81231211,127.146817
서산성연점,충청남도 서산시 성연면 성연3로 36,36.82419421,126.4506931
천안불당파크점,충청남도 천안시 서북구 불당25로 208,36.81963466,127.1094106
당진터미널점,충청남도 당진시 밤절로 136,36.90148867,126.6452131
충남서천점,충청남도 서천군 서천읍 서천로142번길 4,36.08040207,126.6868842
아산터미널점상점제,충청남도 아산시 번영로 225,36.78463549,127.0158963
천안봉명점,충청남도 천안시 서북구 봉명로 25,36.80766701,127.1313132
아산호서대점,충청남도 아산시 배방읍 호서로79번길 14,36.73936843,127.0764118
