Branch,Location,Latitude,Longitude
부산송정점,부산광역시 해운대구 송정해변로 50,35.1798768,129.2005462
나뚜루롯데리아점,부산광역시 해운대구 APEC로 55,35.16907853,129.1360391
부산금정점,부산광역시 금정구 금강로 209-1,35.22728054,129.0829348
팝더파크키즈랜드점,부산광역시 부산진구 새싹로 295-1,35.18428951,129.0443975
시그니처부산연산점,부산광역시 연제구 신금로 25,35.19161796,129.094397
단양대명리조트점,충청북도 단양군 단양읍 삼봉로 187-17,36.97746611,128.3619317
청주금천점,충청북도 청주시 상당구 산성로112번길 32,36.63167441,127.5061762
충주점,충청북도 충주시 연수동산로 12,36.98398768,127.9427079
충주점,충청북도 충주시 연수동산로 12,36.98398768,127.9427079
당진롯데마트점,충청남도 당진시 정안로 20,36.90568202,126.6462834
천안펜타포트점,충청남도 천안시 서북구 공원로 196,36.79892256,127.1017729
홍성터미널점,충청남도 홍성군 홍성읍 조양로247번길 9,36.60094999,126.6762715
케이알산업입장상휴게소나뚜루팝,충청남도 천안시 서북구 입장면 연곡길 407,36.94306322,127.1935918
대구롯데마트점,대구광역시 동구 안심로 80,35.86847601,128.693344
현풍휴게소대구방면,대구광역시 달성군 현풍읍 비슬로 741,35.70202586,128.4387801
현풍휴게소창원방면,대구광역시 달성군 현풍면 중부내륙지선고속도로 3,35.7013067,128.4357704
시그니처대구중앙로점,대구광역시 중구 경상감영길 160,35.87221539,128.5961365
춘천롯데마트점,강원도 춘천시 방송길 84,37.86858029,127.7180611
평창휴게소인천방면,강원도 평창군 용평면 탑거리길 63,37.61079386,128.4633846
광주월드컵롯데마트점,광주광역시 서구 금화로 240,35.13363859,126.8748605
에스에스유통선산휴게소상지점,경상북도 구미시 옥성면 중부내륙고속도로 128,36.27809435,128.249146
김천점,경상북도 김천시 시청로 65,36.13411763,128.117305
포항롯데점,경상북도 포항시 북구 학산로 62,36.04964308,129.3694871
포항오천점,경상북도 포항시 남구 오천읍 정몽주로 645,35.97544489,129.4137295
경주휴게소부산방면,경상북도 경주시 내남면 경부고속도로 59,35.72366156,129.1923591
시그니쳐포항센트럴점,경상북도 포항시 북구 아치로 10,36.05075283,129.3606723
GS25순천향대병원점,경기도 부천시 조마루로 170,37.49835831,126.7620906
평택뉴코아점,경기도 평택시 경기대로 279,36.99555305,127.1124976
안성휴게소부산방면,경기도 안성시 원곡면 경부고속도로 365,37.01357794,127.1447072
안양롯데점,경기도 안양시 만안구 만안로 230,37.4042801,126.9211374
진접롯데시네마점,경기도 남양주시 진접읍 해밀예당1로 36,37.711998,127.1866589
일산이마트점,경기도 고양시 일산동구 중앙로 1124,37.64807479,126.7822392
김포장기점,경기도 김포시 김포한강1로51번길 28,37.64413521,126.6670323
덕평랜드점,경기도 이천시 마장면 덕이로154번길 287-76,37.24136774,127.3937763
수원병점점,경기도 화성시 병점서로 8,37.20587201,127.0405097
송산포도휴게소평택방면,경기도 화성시 송산면 평택시흥고속도로 25,37.23684274,126.7566542
광명세이브존점,경기도 광명시 디지털로 64,37.47316376,126.8764413
일산라페스타점,경기도 고양시 일산동구 호수로 595,37.65383652,126.7687612
송산휴게소점,경기도 화성시 송산면 평택시흥고속도로 25,37.23684274,126.7566542
팝양평점,경기도 양평군 양평읍 양평시장길17번길 2,37.4903598,127.4914421
우림개발용인하휴게소,경기도 용인시 처인구 주북로94번길 30-1,37.24551473,127.2423198
시그니처범계점,경기도 안양시 동안구 시민대로 190,37.39090267,126.9515607
삼천포홈플러스점,경상남도 사천시 중앙로 165,34.94054047,128.080001
진주문고점,경상남도 진주시 진양호로240번길 8,35.17488514,128.0624333
거제옥포점,경상남도 거제시 옥포로 227,34.89508243,128.6904706
김해롯데아울렛점,경상남도 김해시 장유로 469,35.18507674,128.829624
남해창선점,경상남도 남해군 창선면 동부대로 2801-4,34.9023959,128.023381
남해창선엔젤&나뚜루팝,경상남도 남해군 창선면 동부대로 2801-4,34.9023959,128.023381
경남의령점,경상남도 의령군 의령읍 의병로16길 24-1,35.31742586,128.2602862
팝남해창선점,경상남도 남해군 창선면 동부대로 2801-4,34.9023959,128.023381
백장미나뚜루,경상남도 창원시 마산합포구 중앙남5길 26,35.1932125,128.5639678
진주초전점,경상남도 진주시 초북로20번길 30-4,35.21312477,128.1117473
백장미,경상남도 창원시 성산구 외동반림로142번길 32,35.22956347,128.6755503
김해진영휴게소점,경상남도 김해시 진영읍 하계로96번길 94-4,35.27802322,128.7162946
삼산롯데마트점,인천광역시 부평구 길주로 623,37.50787881,126.7320397
만수2점,인천광역시 남동구 인주대로662번길 32,37.44896126,126.7096633
부평산곡롯데마트점,인천광역시 부평구 마장로 296,37.50499822,126.7040622
부평산곡점,인천광역시 부평구 마장로 296,37.50499822,126.7040622
롯데마트 송도점,인천광역시 연수구 센트럴로 350,37.40784441,126.6324988
팝인천청라경서점,인천광역시 서구 솔빛로 88,37.52559704,126.6307254
제주항공우주박물관점,제주특별자치도 서귀포시 안덕면 녹차분재로 218,33.3041909,126.2997202
제주일도점,제주특별자치도 제주시 고마로 140,33.50218357,126.5426696
제주일도점,제주특별자치도 제주시 고마로 140,33.50218357,126.5426696
시청점,제주특별자치도 제주시 신성로13길 22,33.49830903,126.5298858
전주롯데점,전라북도 전주시 완산구 온고을로 2,35.83445974,127.1218467
군산롯데마트점,전라북도 군산시 수송로 185,35.96478613,126.7164279
전주송천롯데마트점,전라북도 전주시 덕진구 송천중앙로 82,35.85456688,127.1204736
전주삼천점,전라북도 전주시 완산구 용리로 42,35.79837214,127.1145992
전주롯데마트점,전라북도 전주시 완산구 우전로 240,35.81632689,127.1025261
전주롯데점,전라북도 전주시 완산구 온고을로 2,35.83445974,127.1218467
익산점,전라북도 익산시 하나로 440,35.95968912,126.9818782
전추송천롯데마트점,전라북도 전주시 덕진구 송천중앙로 82,35.85456688,127.1204736
무주리조트점,전라북도 무주군 설천면 만선로 185,35.88979842,127.7314013
롯데마트군산점,전라북도 군산시 수송로 185,35.96478613,126.7164279
서신점,전라북도 전주시 완산구 당산로 43,35.83233786,127.1127389
여수웅천점,전라남도 여수시 웅천남4로 17,34.74277152,34.74277152
여수롯데마트국동점,전라남도 여수시 국포1로 36,34.72837975,127.7215638
