"Branch","Location","Latitude","Longitude"
"부산덕천점","부산광역시 북구 의성로 100",35.21168462,129.0101733
"해운대장산점","부산광역시 해운대구 해운대로 814",35.1695911,129.177694
"진월중앙점","광주광역시 남구 효우로 79",35.10652736,126.9046737
"광주일곡점","광주광역시 북구 설죽로 517",35.20526185,126.8973203
"키친판교점","경기도 성남시 분당구 대왕판교로606번길 58",37.39540872,127.1135419
"남양주물류센터점","경기도 남양주시 진접읍 남가로131번길 7-1",37.69415216,127.1780887
"분당서현점","경기도 성남시 분당구 서현로210번길 14",37.38622789,127.1245812
"수원역점","경기도 수원시 팔달구 덕영대로 924",37.26566759,127.0000881
"안양키친","경기도 안양시 만안구 덕천로72번길 85",37.38851826,126.9398156
"동남물류센터","경기도 광주시 순암로 395-7",37.40523084,127.2102054
"정자점","경기도 성남시 분당구 느티로 16",37.36815967,127.1062985
"인천공항 문화의거리점","인천광역시 중구 공항로 272",37.45833126,126.4276898
"인천공항T2교통센터점","인천광역시 중구 제2터미널대로 444",37.45833126,126.4276898
"인천공항점","인천광역시 중구 공항로424번길 47",37.44037536,126.4613213
"T1에어점","인천광역시 중구 공항로 272 3층",37.45833126,126.4276898
"T2에어사이드점","인천광역시 중구 공항로 187",37.44759226,126.452336
"T2지하점","인천광역시 중구 인중로 147",37.46460619,126.6252372
"제주점","제주특별자치도 제주시 공항로 2,",33.50592635,126.4960074
"홍대점","서울특별시 마포구 와우산로 94",37.55260046,126.9249219
"한남점","서울특별시 용산구 독서당로 78",37.53394772,127.0092575
"아크로비스타점","서울특별시 서초구 서초중앙로 188",37.4975015,127.0137201
"교대역점","서울특별시 서초구 서초중앙로24길 27",37.49544236,127.0163934
"여의도2호점","서울특별시 영등포구 국회대로74길 12",37.53007514,126.9210478
"수서역점","서울특별시 강남구 광평로 280",37.48731104,127.1030943
"서래점","서울특별시 서초구 서래로5길 2",37.49791056,126.9980853
"연세세브란스점","서울특별시 서대문구 연세로 50",37.56380069,126.9429168
"광화문점","서울특별시 종로구 종로 1",37.57094772,126.9779085
"반포점","서울특별시 서초구 신반포로 41",37.50195112,126.9890174
"키친올림픽공원점","서울특별시 송파구 올림픽로 424",37.52034939,127.1157765
"목동점","서울특별시 양천구 목동동로 293",37.5281659,126.8757526
"리나스숭례문점","서울특별시 중구 칠패로 46",37.55954278,126.9740123
"연세세브란스점","서울특별시 서대문구 연세로 50",37.56139406,126.9408116
"키친삼성역점","서울특별시 강남구 테헤란로 528",37.50808552,127.0619798
"예술의전당점","서울특별시 서초구 남부순환로 2406",37.48033078,127.0141267
