Branch,Location,Latitude,Longitude
롯데몰동부산점,부산광역시 기장군 기장읍 기장해안로 147,35.19222964,129.2128062
롯데백화점광복점,부산광역시 중구 중앙대로 2,35.09832607,129.0367302
신세계백화점센텀시티점,부산광역시 해운대구 센텀남대로 35,35.1686566,129.1291066
롯데백화점부산본점,부산광역시 부산진구 가야대로 772,35.15680985,129.0564377
해운대아이파크점,부산광역시 해운대구 마린시티2로 38,35.15705734,129.1433573
현대백화점충청점,충청북도 청주시 흥덕구 직지대로 308,36.64486295,127.4265543
푸디스트카페x폴바셋,충청남도 당진시 석문면 교로길 30,37.05111573,126.5142293
고메이플레이스X폴바셋,충청남도 태안군 원북면 발전로 457,36.90144106,126.2371246
대구신세계백화점2호점,대구광역시 동구 동부로 149,35.87795016,128.6292487
현대백화점대구점,대구광역시 중구 달구벌대로 2077,35.86663633,128.5906357
롯데백화점대전점,대전광역시 서구 계룡로 598,36.34069505,127.3895686
광주신세계점,광주광역시 서구 무진대로 904,35.16056466,126.8799011
롯데수완아울렛점,광주광역시 광산구 장신로 98,35.19018305,126.820916
광주신세계점,광주광역시 서구 무진대로 904,35.1596707,126.8826573
롯데아울렛광주수완점,광주광역시 광산구 장신로 98,35.19018305,126.820916
롯데분당점,경기도 성남시 분당구 성남대로 491,37.37844699,127.1142836
신세계여주프리미엄아울렛점,경기도 여주시 명품로 360,37.24594358,127.6123789
AK플라자수원점,경기도 수원시 팔달구 덕영대로 924,37.26566759,127.0000881
스타필드하남2호점,경기도 하남시 미사대로 750,37.54542787,127.2237232
현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로152번길 100,37.59709718,126.7850522
신세계의정부점,경기도 의정부시 평화로 525,37.73798231,127.0458574
AK플라자분당점,경기도 성남시 분당구 성남대로 601,37.38500284,127.123421
스타필드고양2호점,경기도 고양시 덕양구 고양대로 1955,37.6470835,126.8947788
현대백화점중동점,경기도 부천시 길주로 180,37.50430493,126.7620715
여주프리미엄아울렛점,경기도 여주시 명품로 360,37.24594358,127.6123789
신세계백화점경기점,경기도 용인시 수지구 포은대로 536,37.32499333,127.1080962
롯데분당점,경기도 성남시 분당구 성남대로 491,37.37843815,127.1143063
하남1호점,경기도 하남시 미사대로 750,37.54542787,127.2237232
김포점,경기도 김포시 고촌읍 아라육로152번길 100,37.59709718,126.7850522
스타필드시티위례점,경기도 하남시 위례대로 200,37.48057992,127.148119
파주프리미엄아울렛점,경기도 파주시 탄현면 필승로 200,37.76892828,126.6964959
신세계시흥프리미엄아울렛점,경기도 시흥시 서해안로 699,37.37965959,126.7369681
수원컨트리클럽점,경기도 용인시 기흥구 중부대로 495,37.28132786,127.1203171
일산마두점,경기도 고양시 일산동구 중앙로 1205,37.65411613,126.7757149
광교엘포트몰점,경기도 수원시 영통구 광교중앙로 145,37.28708207,127.0577718
광명철산DT점,경기도 광명시 오리로 883,37.47595103,126.8645059
롯데백화점창원점,경상남도 창원시 성산구 상남로 121,35.22417699,128.6828767
영종도파라다이스시티점,인천광역시 중구 영종해안남로321번길 186,37.43719432,126.4557593
송도트리플스트리트점,인천광역시 연수구 송도과학로16번길 33-3,37.37985032,126.6609415
전주혁신도시점,전라북도 전주시 덕진구 기지로 77,35.83879943,127.0593031
롯데백화점전주점,전라북도 전주시 완산구 온고을로 2,35.83445974,127.1218467
상암MBC미디어센터점,서울특별시 마포구 성암로 267,37.5811105,126.8909658
코엑스몰점,서울특별시 강남구 영동대로 513,37.51182033,127.0591391
서대문역점,서울특별시 중구 서소문로9길 41-10,37.56401307,126.9689706
롯데백화점관악점,서울특별시 관악구 보라매로3길 31,37.49053785,126.9250657
목동5단지점,서울특별시 양천구 목동동로 377,37.53533145,126.8788358
NC타워삼성점,서울특별시 강남구 테헤란로 509,37.50777607,127.0581945
압구정2호점,서울특별시 강남구 압구정로36길 8,37.52794045,127.0313083
더클래식500건대점,서울특별시 광진구 능동로 90,37.53835036,127.070902
여의도IFC몰점,서울특별시 영등포구 국제금융로 10,37.52517222,126.9248631
용산아이파크몰점,서울특별시 용산구 한강대로21나길 7,37.52790298,126.9632226
