Branch,Location,Latitude,Longitude
철원동송,강원 철원군 동송읍 금학로218번길 1,38.2082715,127.2183714
신철원터미널,강원 철원군 갈말읍 지포리 47-5,38.1451141,127.3077230
김화,강원 철원군 서면 와수로 171-1,38.2388843,127.4379592
화천2호,강원도 화천군 사내면 사내로 40,38.0714739,127.5214170
화천,강원도 화천군 화천읍 중앙로 15,38.1045912,127.7059704
춘천강북,강원도 춘천시 충열로 10-15 우두동,37.9004151,127.7291469
춘천온의,강원도 춘천시 영서로 2347-1,37.8689957,127.7155375
춘천신성,강원도 춘천시 근화동 291-20,37.8722898,127.7203070
춘천명동,"강원도 춘천시 금강로 54 1,2,3층",37.8801115,127.7277778
남춘천역사,강원도 춘천시 영서로 2260,37.8640372,127.7238442
남춘천,강원 춘천시 행촌로 29,37.8595513,127.7240755
춘천한림대,강원 춘천시 삭주로 96,37.8835503,127.7414359
춘천한숲,강원도 춘천시 안마산로 115,37.8558764,127.7293468
춘천장학,강원도 춘천시 동면 춘천로 449번길 3,37.8948581,127.7537979
춘천포스코,강원 춘천시 춘천로296번길 3,37.8810336,127.7461598
춘천주공랜드마크,강원 춘천시 퇴계로 175,37.8581902,127.7383283
춘천후평,강원도 춘천시 후평동 796-2,37.8774282,127.7513918
춘천퇴계,강원 춘천시 안마산로 199,37.8505455,127.7364456
춘천봄내,강원도 춘천시 퇴계로 229 1층,37.8562076,127.7438063
춘천만천,강원도 춘천시 동면 만천로 135,37.8813996,127.7599698
춘천석사퇴계CGV,강원도 춘천시 퇴계농공로 16,37.8518263,127.7443321
춘천석사,강원 춘천시 후석로186번길 14,37.8673060,127.7537849
춘천거두,강원 춘천시 동내면 춘천순환로 58 메디피아빌딩 1층,37.8551213,127.7503301
양구,강원도 양구군 양구읍 상리 333-22,38.1065920,127.9891473
서홍천농협,강원 홍천군 남면 시동로 62 서홍천농협,37.6103551,127.7712204
홍천연봉,강원 홍천군 홍천읍 연봉로 33,37.6819822,127.8776280
홍천,강원 홍천군 홍천읍 번영로 38,37.6898389,127.8844791
홍천갈마,강원 홍천군 홍천읍 공작산로 45,37.6918458,127.8978262
원통,강원도 인제군 북면 원통리 645-20,38.1222538,128.2035938
인제,강원 인제군 인제읍 비봉로 9-1,38.0683082,128.1727006
거진,강원도 고성군 거진읍 거진길 40,38.4473008,128.4550326
간성,강원도 고성군 간성읍 간성로 37-1,38.3788921,128.4708861
문막천사마트,강원도 원주시 건등로 62 천사마트 내 1층,37.3147395,127.8225958
문막동화,강원도 원주시 문막읍 왕건로 46,37.3237318,127.8293395
원주기업이지더원,강원도 원주시 지정면 가곡리 1495-1,37.3827153,127.8726672
원주롯데캐슬,강원 원주시 지정면 가곡로 70-1 102호,37.3778522,127.8764209
횡성축협하나로마트,강원도 횡성군 횡성읍 횡성로 337 횡성축협한우프라자 내 1층,37.4838374,127.9814229
횡성,강원도 횡성군 횡성읍 삼일로 3 1층,37.4897909,127.9863812
원주기지,강원 원주시 소초면 북원로 3223 공군8비장병복합체육관 지상1층,37.4290184,127.9671023
원주우산,강원 원주시 우산로 69,37.3696950,127.9366747
원주시청,강원도 원주시 무실동 만대로 89 무실 e-편한세상 106호,37.3377155,127.9189653
원주이안,강원 원주시 모란1길 70 106호,37.3617393,127.9333489
원주태장,강원 원주시 북원로 2694,37.3840122,127.9477196
원주단계,"강원 원주시 백간길 74 라이프타운 103,104,106호",37.3517960,127.9314166
원주무실,강원 원주시 시청로 84,37.3363633,127.9280529
원주무실세영,강원도 원주시 무실로 382,37.3301948,127.9274568
무실휴먼시아,강원도 원주시 무실동 1782-3,37.3375547,127.9323501
원주원동,강원 원주시 무실로 169 .,37.3412141,127.9403233
원주1호,강원 원주시 원일로115번길 5,37.3495865,127.9480168
원주청구,강원도 원주시 남원로 441-3 구곡청구아파트,37.3253866,127.9404627
원주남부,강원 원주시 남원로 671,37.3424591,127.9544838
원주시범,강원 원주시 서원대로 396 스타월드 1층,37.3307485,127.9488651
원주개운,강원 원주시 개운로 30 106호,37.3382367,127.9547041
원주단구,강원 원주시 단구로 422,37.3214432,127.9519291
원주삼익,강원 원주시 행구로 80,37.3416242,127.9660423
원주반곡,강원 원주시 늘품로 187-58 111호,37.3373386,127.9640620
원주단관,강원 원주시 단구로 388,37.3221765,127.9560247
원주관설,강원도 원주시 시청로 494-14,37.3149876,127.9614951
원주혁신도시,강원도 원주시 혁신로 53,37.3234965,127.9799833
원주혁신도시중앙,강원도 원주시 양지로 50 대준빌딩 1층 107호,37.3261651,127.9841344
속초현대,강원도 속초시 미시령로3395,38.2075022,128.5774134
