Branch,Location,Latitude,Longitude
부산안락,부산광역시 동래구 안연로 75,35.19392608,129.0983151
부산대학병원점,부산광역시 서구 구덕로 179,35.10107033,129.0192487
사랑모아범천점,부산광역시 부산진구 중앙대로 632,35.14916567,129.0595764
서부터미널점,부산광역시 사상구 사상로 204,35.16338388,128.9843953
부산용당점,부산광역시 남구 유엔평화로 143,35.12363587,129.0973158
동대신동점,부산광역시 서구 구덕로328번길 4,35.11298283,129.0165119
정관방곡점,부산광역시 기장군 정관읍 정관덕산길 44,35.32223651,129.1842696
기장동부점,부산광역시 기장군 기장읍 차성동로 108,35.24734142,129.2170765
부산기장교리점,부산광역시 기장군 기장읍 차성로 436,35.25447284,129.2178094
부산시청점,부산광역시 부산진구 진연로 5,35.17830168,129.0745778
동래역점,부산광역시 동래구 온천천로 149-1,35.20606995,129.079018
부산대학교점,부산광역시 금정구 금정로 72,35.23099567,129.0867962
부산명지더샵점,부산광역시 강서구 명지국제7로 37,35.09756523,128.9055122
부산부경대점,부산광역시 남구 용소로 36,35.1341956,129.1008041
센텀점,부산광역시 해운대구 센텀중앙로 55,35.17321884,129.128006
해운대중동점,부산광역시 해운대구 좌동순환로 10,35.16748905,35.16748905
부산구서롯데캐슬,부산광역시 금정구 금강로 479,35.25010636,129.0876336
부산백병원점,부산광역시 부산진구 복지로 75,35.1464716,129.0205936
영도미라주점,부산광역시 영도구 동삼로 89,35.08140158,129.0705204
부산화명점,부산광역시 북구 금곡대로 240,35.22985623,129.0134525
부산진역점,부산광역시 동구 중앙대로 373,35.1288814,129.0485062
연산자이점,부산광역시 연제구 쌍미천로 181,35.18885203,129.0872449
부산학장본점,부산광역시 사상구 학감대로 111,35.14091228,128.9876802
센텀재송점,부산광역시 해운대구 해운대로76번길 44,35.19004234,129.1178843
김해공항점,부산광역시 강서구 공항진입로 108,35.17273274,128.9457559
부산진역점,부산광역시 동구 중앙대로371번길 12,35.12906631,129.047971
율리역점,부산광역시 북구 학사로 299,35.24761121,129.0126515
부산문현금융단지점,부산광역시 남구 문현금융로 22,35.14461044,129.0650812
부산일광신도시,부산광역시 기장군 일광면 해빛2로 21,35.2690544,129.2260838
명지점,부산광역시 강서구 명지오션시티5로 12,35.08328747,128.904214
동아대점,부산광역시 사하구 낙동대로516번길 1,35.11099021,128.9658624
부산냉정역점,부산광역시 사상구 가야대로 366,35.15097451,129.0124845
화명카이저주상가점,부산광역시 북구 와석장터로 12,35.23496479,129.0158781
부산시민공원점,부산광역시 부산진구 새싹로 84,35.16453758,129.0540459
초읍대공원점,부산광역시 부산진구 새싹로 288-1,35.18180453,129.0471983
용호점,부산광역시 남구 용호로 144,35.11954598,129.1118848
영도동삼점,부산광역시 영도구 와치로 246,35.07535324,129.0684677
부산장산역점,부산광역시 해운대구 해운대로 814,35.16969024,129.1776955
부산다대현대점,부산광역시 사하구 다대로 473,35.06149377,128.9793446
부산사상구청점,부산광역시 사상구 학감대로 236,35.15197737,128.990393
부산BIFC몰점,부산광역시 남구 문현금융로 40,35.14650531,129.0658851
부산주례역점,부산광역시 사상구 가야대로 280,35.15024966,129.0031798
서부산유통단지점,부산광역시 강서구 유통단지1로49번길 6,35.1671505,128.9552743
당리점,부산광역시 사하구 낙동대로 393,35.10285846,128.975002
부산대푸르지오점,부산광역시 금정구 중앙대로 1617-12,35.2297625,129.0906137
온종합병원점,부산광역시 부산진구 가야대로 721,35.15791021,129.0501408
부산명장점,부산광역시 동래구 반송로339번길 17,35.20933455,129.1028497
부산괴정역점,부산광역시 사하구 낙동대로 225-1,35.0995546,128.9922483
하단역점,부산광역시 사하구 낙동남로 1391,35.1066605,128.9639685
부산부전역점,부산광역시 부산진구 중앙대로 797,35.16319791,129.0629416
부산광안점,부산광역시 수영구 광안해변로 282,35.15583581,35.15583581
부산동래래미안점,부산광역시 동래구 충렬대로107번길 65,35.21092302,129.0715039
청주가경신라점,충청북도 청주시 흥덕구 가경로 177,36.63066973,127.4361638
청주운천,충청북도 청주시 흥덕구 사운로 257,36.65008228,127.4737023
청주서원대점,충청북도 청주시 서원구 서원남로 46,36.62239257,127.4829579
사천3점,충청북도 청주시 청원구 율봉로 97,36.66689985,127.4800985
진천혁신도시점,충청북도 진천군 덕산읍 시가로 10,36.90221386,127.5333663
청주수곡사거리점,충청북도 청주시 서원구 수곡로 46,36.61719909,127.4741495
청주센터점,충청북도 청주시 흥덕구 강서로 101,36.62473482,127.4275644
청주흥덕파크자이점,충청북도 청주시 흥덕구 옥산면 오송가락로 1055,36.67558873,127.3892382
진천성모병원점,충청북도 진천군 진천읍 중앙북로 33,36.85899003,127.4406816
청주분평점,충청북도 청주시 서원구 분평로6번길 21,36.60750913,127.4861089
충북영동점,충청북도 영동군 영동읍 중앙로 46,36.17550153,127.7783423
청주금천장자점,충청북도 청주시 상당구 수영로 303-1,36.63161322,127.506635
충주공판장점,충청북도 충주시 사직로 286,36.96865881,127.9427418
청주분평주공점,충청북도 청주시 서원구 월평로 78,36.6111819,127.4935519
가경점,충청북도 청주시 흥덕구 가경로 155,36.62862644,127.4366818
청주성모병원점,충청북도 청주시 청원구 주성로 173-19,36.67352959,127.4856031
충북보은점,충청북도 보은군 보은읍 삼산로 15,36.48441455,127.7202899
청주지웰시티점,충청북도 청주시 흥덕구 대농로 39,36.64233227,127.4269086
괴산점,충청북도 괴산군 괴산읍 읍내로11길 3,36.80920167,127.7942708
청주방서점,충청북도 청주시 상당구 단재로 316,36.60110166,127.5009948
테크노폴리스점,충청북도 청주시 흥덕구 송화로214번길 29,36.66782544,127.4572822
율량점,충청북도 청주시 청원구 율량로 135,36.6719178,127.5007505
오창산업단지점,충청북도 청주시 청원구 오창읍 주성1길 17,36.73248389,127.4508151
푸르지오점,충청북도 충주시 봉현로 355,36.97742751,127.9434092
청전점,충청북도 제천시 내제로 242,37.1471182,128.2126237
청주가경2호점,충청북도 청주시 흥덕구 가경로 85,36.62294685,127.4400885
청주가마지구점,충청북도 청주시 서원구 남이면 청남로 1827-32,36.59910325,127.4702039
청주사천점,충청북도 청주시 청원구 율봉로 43,36.66419334,127.475329
진천혁신도시점,충청북도 진천군 덕산읍 시가로 14,36.90243114,127.533623
금천뉴타운점,충청북도 청주시 상당구 수영로 228,36.62497036,127.5042399
충주연수점,충청북도 충주시 번영대로 103,36.98744085,127.9291575
충북대중문점,충청북도 청주시 서원구 내수동로 112,36.63367193,127.4597582
청주용암세원점,충청북도 청주시 상당구 무농정로 90,36.60947115,127.5111916
음성공장점,충청북도 음성군 대소면 대소산단로 20,36.98155979,127.4586566
가경신라점,충청북도 청주시 흥덕구 가경로 177,36.63066973,127.4361638
용암현대점,충청북도 청주시 상당구 월평로184번길 8,36.60984788,127.5042138
청주공단오거리점,충청북도 청주시 흥덕구 내수동로 2,36.63382415,127.4477477
청전점,충청북도 제천시 의림대로29길 22,37.14755133,128.2122984
