Branch,Location,Longitude,Latitude
삼척근덕대로점,강원도 삼척시 근덕면 삼척로 3665,129.2252424,37.38155292
동해삼화점,강원도 동해시 효자로 267,129.0698392,37.48891717
강릉강일로점,강원도 강릉시 화부산로 27,128.8858065,37.75937435
인제기린점,강원도 인제군 기린면 두루미길 49-9,128.3398684,37.95076271
동해효가사거리점,강원도 동해시 효자로 691,129.1096906,37.49292864
홍천비발디점,강원도 홍천군 서면 한치골길 48,127.6674909,37.62568827
속초청학대로점,강원도 속초시 번영로 63-1,128.5843961,38.20577312
홍천드림점,강원도 홍천군 홍천읍 꽃뫼로 84,127.8829113,37.69083108
설악한화별관2호점,강원도 속초시 미시령로2983번길 16,128.5339538,38.20466191
춘천경춘대로점,강원도 춘천시 서면 경춘로 635,127.5810398,37.83708699
정선봉양점,강원도 정선군 정선읍 녹송로 88,128.6710937,37.38476153
동해평릉점,강원도 동해시 평릉길 20,129.1018236,37.52780059
횡성대동점,강원도 횡성군 횡성읍 삼일로 50,127.9869236,37.49421093
강릉문화점,강원도 강릉시 문화의길8번길 18,128.8961122,37.75567433
삼척새천년점,강원도 삼척시 새천년도로 91,129.1912151,37.43966697
원주개운점,강원도 원주시 개운로 56,127.9567724,37.33894395
둔내성우점,강원도 횡성군 둔내면 고원로 393,128.2385536,37.49840417
삼척옥원점,강원도 삼척시 원덕읍 삼척로 642,129.3305817,37.19078723
고성교암해변점,강원도 고성군 토성면 교암길 62,128.5462102,38.29080074
홍천행복점,강원도 홍천군 홍천읍 갈마로8길 13,127.9032723,37.69373293
강원대삼척캠퍼스1호,강원도 삼척시 뒷나루길 182-142,129.1784134,37.4620962
동해전곡대로점,강원도 동해시 천곡로 59,129.1118264,37.52409366
횡성갑천점,강원도 횡성군 갑천면 청정로 273-1,128.1088279,37.55874225
인제한계쉼터점,강원도 인제군 북면 설악로 3251,128.2442082,38.13962508
명륜사랑점,강원도 원주시 황소마을길 20-2,127.9444882,37.33065758
주문진등대점,강원도 강릉시 주문진읍 해안로 1905,128.8319267,37.90049642
