Branch,Location,Latitude,Longitude
화천사내점,강원도 화천군 사내면 수피령로 25,38.06968633,127.5249197
동해이도점,강원도 동해시 이원길 25,37.47981465,129.09464
홍천터미널점,강원도 홍천군 홍천읍 홍천로3길 7,37.68917918,127.8799659
정선리조트점,강원도 정선군 고한읍 물한리길 8,37.2115714,128.8351976
홍천아이파크점,강원도 홍천군 홍천읍 남산마을길 15,37.6841912,127.8838515
인제기린점,강원도 인제군 기린면 기린로 41,37.95601394,128.3179073
양구정림점,강원도 양구군 양구읍 박수근로 322,38.10022495,127.9828827
평창대화점,강원도 평창군 대화면 대화중앙로 129-1,37.50050839,128.4549323
해오름점,강원도 속초시 새마을길 56,38.1864266,128.6045034
애플점,강원도 춘천시 공지로 69-10,37.85363262,127.7501753
화천사내점,강원도 화천군 사내면 사내로1길 12,38.07015243,127.524324
홍천미진점,강원도 홍천군 홍천읍 석화로 116,37.69629935,127.8911014
묵호중앙점,강원도 동해시 중앙시장길 9,37.55072161,129.1087136
대진항점,강원도 고성군 현내면 한나루로 122,38.49886987,128.4253499
문막동화점,강원도 원주시 문막읍 왕건로 36,37.32302408,127.8299333
원주동화점,강원도 원주시 문막읍 왕건로 81,37.32669943,127.8291013
신철원점,강원도 철원군 갈말읍 삼부연로8번길 2,38.14495362,127.3087163
강원도청점,강원도 춘천시 중앙로 1,37.88542373,127.7309913
속초조양점,강원도 속초시 온정로 24,38.18603683,128.594375
속초부영점,강원도 속초시 조양로142번길 13,38.18888483,128.5852201
운영도급점,강원도 동해시 대동로 430,37.5034085,129.1305203
속초양우점,강원도 속초시 온정로1길 30,38.18669314,128.5892892
원주상지영서대점,강원도 원주시 상지대길 84,37.37265969,127.9299598
영월세경대점,강원도 영월군 영월읍 하송로 197,37.17282363,128.4542666
춘천효제점,강원도 춘천시 효제길23번길 18-9,37.87240192,127.7381201
영월삼거리점,강원도 영월군 북면 원동재로 6-1,37.21249136,128.4175152
사북아리랑점,강원도 정선군 사북읍 사북중앙로 13,37.22716751,128.8160999
포남대로점,강원도 강릉시 경강로 2202,37.76121053,128.9050314
홍천강변점,강원도 홍천군 홍천읍 남산강변로2길 2,37.68630442,127.879585
삼척터미널점,강원도 삼척시 봉황로 9-22,37.4401258,129.1687234
고한원진점,강원도 정선군 고한읍 강원남로 6484,37.19642728,128.8722252
춘천미소점,강원도 춘천시 근화길15번길 43,37.87231515,127.7199906
안목해맞이점,강원도 강릉시 창해로14번길 30,37.77201846,128.9479789
원주흥업점,강원도 원주시 흥업면 남원로 57,37.30142885,127.9192646
춘천그린점,강원도 춘천시 효자문길 3,37.87129813,127.7320998
원주태장주공점,강원도 원주시 현충로 301,37.38003099,127.9478846
원주호반점,강원도 원주시 지정면 신지정로 265,37.37839338,127.8693519
삼척건지점,강원도 삼척시 엑스포로 174,37.43605843,129.1479477
남춘천점,강원도 춘천시 퇴계로 66,37.86334168,127.7280143
문막동화점,강원도 원주시 문막읍 왕건로 42,37.32336597,127.8295601
철원자등점,강원도 철원군 서면 신술1길 4,38.16459052,127.4121608
횡계올림픽점,강원도 평창군 대관령면 올림픽로 302,37.66228249,128.6989051
강릉제일점,강원도 강릉시 강릉대로 171-1,37.75764602,128.8891792
원주혁신8호점,강원도 원주시 양지뜰4길 32,37.32651526,127.9831275
낙산해변점,강원도 양양군 강현면 낙산사로 46,38.12142763,128.6307005
태백3주공점,강원도 태백시 고원로 281,37.17631388,128.981734
태백아날점,강원도 태백시 태백산로 5136,37.14578972,128.9930012
하이원휠콘도점,강원도 정선군 고한읍 고한로 35,37.20807994,128.8434171
흥업정성점,강원도 원주시 흥업면 남원로 32,37.29906772,127.9189739
편의점,강원도 춘천시 동면 만천로 240,37.88965785,127.755454
고성공현진점,강원도 고성군 죽왕면 공현진해변길 57,38.35392096,128.5103231
강릉영진점,강원도 강릉시 연곡면 해안로 1459,37.86938502,128.8445339
한화리조트평창점,강원도 평창군 봉평면 태기로 228-33,37.57877176,128.3317396
속초5주공점,강원도 속초시 소평로 110,38.18931301,128.5714563
속사IC점,강원도 평창군 용평면 운두령로 15,37.63899074,128.4959775
원주비발디점,강원도 원주시 모란1길 86,37.3624873,127.9318998
속초자이점,강원도 속초시 조양로 163,38.18721789,128.5816223
동해아람점,강원도 동해시 지리골길 33,37.54839633,129.1010743
춘천동부점,강원도 춘천시 충열로 32,37.89861065,127.7331492
원주에버빌점,강원도 원주시 단관길 98-3,37.32046235,127.9575276
속초조양점,강원도 속초시 온정로 6,38.18444541,128.5937229
강릉온누리점,강원도 강릉시 옥천로 44,37.75923074,128.9011827
