Branch,Location,Latitude,Longitude
부산강서명지점,부산광역시 강서구 명지새동네길1번길 2,35.1086938,128.9310185
서면점,부산광역시 부산진구 서면로 33,35.15369024,129.0575608
송도점,부산광역시 서구 송도해변로 133,35.07773329,129.0213488
부산대제일점,부산광역시 금정구 부산대학로38번길 14,35.23189112,129.0874563
부산용호2호점,부산광역시 남구 용호로178번길 3,35.11634738,129.1107553
남천3호점,부산광역시 수영구 광남로48번길 20,35.14622759,129.1128183
부산반송그린점,부산광역시 해운대구 신반송로 102,35.23027926,129.1629162
부산용호제일점,부산광역시 남구 용호로 124,35.12135705,129.1119643
해운대비치점,부산광역시 해운대구 구남로 42-1,35.1603386,129.1613381
부산자갈치점B,부산광역시 중구 자갈치로37번길 6-1,35.09751321,129.0284502
부산정관조은타워점,부산광역시 기장군 정관읍 정관로 3,35.35790001,129.1414944
부산연산웰니스점,부산광역시 연제구 고분로13번길 73,35.18849871,129.0864386
송도해변점,부산광역시 서구 충무대로34번길 47,35.07669593,129.0171472
중앙센터점,부산광역시 중구 충장대로9번길 55,35.11020808,129.0386577
부산대연미소점,부산광역시 남구 수영로250번길 32,35.13419123,129.0953178
부산좌동중앙점,부산광역시 해운대구 세실로69번길 11,35.17123719,129.1761919
부산강서화전점,부산광역시 강서구 화전산단4로6번길 6,35.11085166,128.8786189
해운대해변점,부산광역시 해운대구 해운대로570번길 53,35.16016322,129.1598867
부산온천중앙점,부산광역시 동래구 차밭골로21번길 41,35.21465773,35.21465773
우암열린점,부산광역시 남구 우암로154번길 58,35.12573072,129.0818741
부산광남로점,부산광역시 수영구 수영로510번길 58,35.15048491,129.1144785
경남정보대점,부산광역시 사상구 가야대로366번길 56,35.14857428,129.012784
부산대저공단점,부산광역시 강서구 공항로 1373,35.21994812,128.9908116
부산범천골드점,부산광역시 부산진구 자유평화로37번길 51,35.14359457,129.0627196
금사예원점,부산광역시 금정구 개좌로 141-9,35.22510623,129.1159044
부산금강식물원점,부산광역시 동래구 금강로131번길 1,35.22043511,129.0803504
온천2호점,부산광역시 동래구 충렬대로107번길 19,35.20770416,129.0726258
부산구서롯데점,부산광역시 금정구 금강로 503,35.25271228,129.0865256
녹산한마음병원점,부산광역시 강서구 녹산산단321로 24-4,35.09077933,128.8530587
부산사상원룸점,부산광역시 사상구 사상로233번길 19,35.16564059,128.9817771
수영구청점,부산광역시 수영구 남천동로108번길 5,35.1457772,129.1118025
부산남포역사점,부산광역시 중구 구덕로 12-1,35.09799629,129.0341815
부산당감삼익점,부산광역시 부산진구 당감로 18-1,35.16338921,129.0398603
부산서면대로점,부산광역시 부산진구 가야대로 763-1,35.15792972,129.055157
부산광안골드점,부산광역시 수영구 수영로 648,35.1633714,129.1148409
부산부용점,부산광역시 서구 구덕로232번길 3,35.10535915,129.0205415
부산경성삼정점,부산광역시 남구 수영로 319,35.13790106,129.1007223
부산반여보람점,부산광역시 해운대구 선수촌로 202-13,35.20791269,129.1270689
부산주례중앙점,부산광역시 사상구 가야대로344번길 67,35.14786255,129.0105802
남천2호점,부산광역시 수영구 수미로 50,35.17331914,129.1162062
부산해운대엘시티점,부산광역시 해운대구 해운대로 794,35.16881666,129.1757619
부산범천태명점,부산광역시 부산진구 황령대로7번길 30,35.14915933,129.0603007
센텀갤러리움점,부산광역시 해운대구 센텀1로 9,35.1678639,129.1309837
부산가야원룸점,부산광역시 부산진구 가야대로548번가길 4,35.14929911,129.0326353
부산대연중앙점,부산광역시 남구 수영로220번길 21,35.13398914,129.0907395
부평제일점,부산광역시 중구 부평2길 3,35.09961372,129.026294
부산정관캐슬점,부산광역시 기장군 정관읍 정관3로 52,35.32867348,129.1702521
동주점,부산광역시 사하구 사리로 48,35.10403428,128.9988729
부산전포원룸점,부산광역시 부산진구 전포대로255번길 29,35.15921581,129.0637349
부산서면롯데점,부산광역시 부산진구 부전로65번길 3,35.15579815,129.0546137
부산감만석포점,부산광역시 남구 양지골로 340,35.12181564,129.0862436
부산새동래점,부산광역시 동래구 충렬대로218번길 22,35.20077169,129.0828464
부산대연역점,부산광역시 남구 유엔평화로 4,35.13467493,129.0916594
SK내트럭부산점,부산광역시 남구 신선로 168,35.11036207,129.0818574
부산신호사랑점,부산광역시 강서구 신호산단1로140번길 5,35.08116393,128.8791777
