Branch,Location,Latitude,Longitude
강릉점,강원도 강릉시 성덕포남로 169,37.7670188,128.9096371
춘천후평점,강원도 춘천시 춘천로 247,37.8793271,127.7409183
춘천석사점,강원도 춘천시 공지로 220,37.8630125,127.7393589
원주명륜점,강원도 원주시 남원로 623,37.3389137,127.9516037
원주점,강원도 원주시 천사로 155-1,37.3493567,127.941521
속초점,강원도 속초시 온천로 287,38.1930757,128.5737913
홍천점,강원도 홍천군 홍천읍 홍천로 327,37.6885641,127.8817083
인제원통점,강원도 인제군 인제읍 인제로206번길 38 해밀빌딩,38.0663784,128.1751116
삼척점,강원도 삼척시 중앙로 264,37.4467938,129.1675946
동해점,강원도 동해시 감추로 42 도미노피자 동해점,37.5160235,129.1235375
철원점,강원도 철원군 갈말읍 삼부연로7번길 6,38.1453253,127.3087554
태백점,강원도 태백시 황지로 36,37.1619217,128.9910035
영월점,강원도 영월군 영월읍 하송로 138,37.1777172,128.457244
원주혁신점,강원도 원주시 미래로 37,37.3269984,127.9879694
횡성점,강원도 횡성군 횡성읍 문정로 57,37.4884394,127.98954
알펜시아점,강원도 평창군 대관령면 솔봉로 325 알펜시아리조트 101동,37.6707132,128.6888282
대명비발디파크점,강원도 홍천군 서면 한치골길 262 대명비발디파크 오크동 지하1층,37.6466335,127.6813286
일산점,경기도 고양시 일산동구 강송로 170,37.6538982,126.7842633
부천심곡점,경기도 부천시 경인로 181,37.48409938,126.7754871
수지신봉점,경기도 용인시 수지구 신봉1로 84,37.32369621,127.0764398
남양주점,경기도 남양주시 진접읍 진건오남로 998,37.70928061,127.1858947
수지상현점,경기도 용인시 수지구 성복2로 17,37.31076542,127.0810428
안양석수점,경기도 안양시 만안구 경수대로 1213,37.4166965,126.9132435
안양점,경기도 안양시 만안구 만안로 284,37.40503841,126.9193193
야탑점,경기도 성남시 분당구 매화로 43,37.41147938,127.1335956
신동탄점,경기도 화성시 동탄순환대로 706,37.20780655,127.1105813
마석점,경기도 남양주시 화도읍 마석중앙로28번길 40-1,37.6511937,127.3062019
군포점,경기도 군포시 금당로 23,37.35011169,126.9404801
수원중앙점,경기도 수원시 팔달구 매산로 46,37.26835144,127.006344
하남신장점,경기도 하남시 하남대로 786,37.54028361,127.2102541
성대점,경기도 수원시 장안구 서부로2106번길 26-84,37.29672164,126.9730362
의정부민락점,경기도 의정부시 용민로 249,37.74934808,127.0978418
남동탄점,경기도 화성시 동탄순환대로 127-5,37.16604241,127.1072765
여주휴게소강릉방면,경기도 여주시 가남읍 여주남로 722,37.23771707,127.5683078
영통점,경기도 수원시 영통구 청명로 65,37.2531305,127.0797367
안산고잔점,경기도 안산시 단원구 광덕대로 137,37.30878213,126.8289073
이천부발점,경기도 이천시 부발읍 경충대로2050번길 15-88,37.25221191,127.4922805
성남수진점,경기도 성남시 중원구 산성대로 198,37.43668852,127.140605
판교점,경기도 성남시 분당구 서판교로 160,37.40024962,127.0947923
흥덕점,경기도 용인시 기흥구 흥덕1로 97,37.2748238,127.0733161
미금점,경기도 성남시 분당구 미금일로74번길 5-3,37.34608422,127.1112215
동수원점,경기도 수원시 팔달구 세지로 394,37.28485331,127.028411
역곡점,경기도 부천시 부일로 701-1,37.48498841,126.8077882
동수원점,경기도 수원시 팔달구 경수대로 509,37.27145064,127.0279856
곤지암점,경기도 광주시 곤지암읍 경충대로 772,37.35641732,127.3248858
통진점,경기도 김포시 통진읍 조강로 24,37.68869849,126.602426
의왕점,경기도 의왕시 효행로 54,37.3520237,126.9723397
김포구래점,경기도 김포시 김포한강9로12번길 97-10,37.64086827,126.6272866
호평평내점,경기도 남양주시 경춘로 1324,37.65107779,127.2391704
용인남사점,경기도 용인시 처인구 남사읍 한숲로57번길 15-1,37.15325808,127.1695924
파주운정점,경기도 파주시 경의로 1114,37.71661189,126.7603733
화성봉담점,경기도 화성시 봉담읍 동화역말길 29-13,37.21554284,126.962713
인덕원점,경기도 안양시 동안구 관악대로 407,37.40504095,126.9680129
미금오리점,경기도 성남시 분당구 성남대로 52,37.34044769,127.1093919
의왕포일점,경기도 의왕시 성고개로 53,37.39760372,126.9874165
광교점,경기도 수원시 영통구 센트럴타운로 92,37.29173267,127.0511273
문산점,경기도 파주시 문산읍 문향로 12,37.85306991,126.7865903
안중점,경기도 평택시 안중읍 안현로 372,36.98328367,126.9294252
미금점,경기도 성남시 분당구 미금일로 85,37.34559905,127.1102114
철산점,경기도 광명시 오리로 899-1,37.47670777,126.8626176
고양점,경기도 고양시 덕양구 혜음로 68,37.70658175,126.9029231
서현점,경기도 성남시 분당구 중앙공원로 20,37.37820763,127.1281522
별내점,경기도 남양주시 송산로 153 오토스퀘어 빌딩,37.65135801,127.306563
수원성대점,경기도 수원시 장안구 서부로 2066,37.29596539,126.9741518
송탄점,경기도 평택시 경기대로 1385,37.06872047,127.0638647
이매점,경기도 성남시 분당구 성남대로779번길 22,37.39943873,127.125941
양주점,경기도 양주시 독바위로 36-1,37.83791172,127.0624425
고강원종점,경기도 부천시 역곡로 448,37.52449934,126.8158934
광명점,경기도 광명시 안현로 35,37.46761716,126.874953
구리점,경기도 구리시 벌말로 185,37.59323078,127.1494637
율천점,경기도 수원시 장안구 하률로 3,37.3031966,126.9736362
수진점,경기도 성남시 수정구 산성대로 200,37.43745247,127.1403363
시흥목감점,경기도 시흥시 남왕길 48-12,37.38259161,37.38259161
광명일직점,경기도 광명시 일직로 28,37.42206243,126.8847183
동탄점,경기도 화성시 동탄지성로 84,37.2072088,127.0657055
철산점,경기도 광명시 시청로 32,37.47956022,126.8640895
광명점,경기도 광명시 하안로 361,37.46674126,126.8757009
야탑점,경기도 성남시 분당구 매화로 46,37.41163669,127.1341586
부천약대점,경기도 부천시 도약로 213,37.51061242,126.7733235
중동점,경기도 부천시 신흥로 226,37.50377867,126.7764212
서현점,경기도 성남시 분당구 서현로 377,37.37660758,127.1397554
양주고읍점,경기도 양주시 고읍로 151,37.79264595,127.086654
마두점,경기도 고양시 일산동구 일산로 280,37.66082493,126.7866891
마두점,경기도 고양시 일산동구 고양대로 1025,37.67279947,126.8070114
범계점,경기도 안양시 동안구 갈산로2번길 27-11,37.37294208,126.963564
성남상대원점,경기도 성남시 중원구 금상로 27,37.4384958,127.1601227
구리인창점,경기도 구리시 동구릉로 79,37.60716593,127.1340377
의정부송산점,경기도 의정부시 용현로 97,37.74137952,127.0868532
시흥연성점,경기도 시흥시 승지로69번길 7,37.3702135,126.8096409
동백점,경기도 용인시 기흥구 동백중앙로 191,37.27086982,127.1529455
동수원점,경기도 수원시 팔달구 경수대로507번길 5,37.27126942,127.0278639
선부점,경기도 안산시 단원구 지곡로 29,37.33735688,37.33735688
부천점,경기도 부천시 상일로 157,37.49095652,126.7599624
대화점,경기도 고양시 일산서구 송포로 26,37.66896695,126.7332598
하남점,경기도 하남시 미사강변서로 30,37.55300198,127.1843948
분당수내점,경기도 성남시 분당구 내정로119번길 4-4,37.3711746,127.1153965
공도점,경기도 안성시 공도읍 공도4로 21,37.00177096,127.1710855
수지상현점,경기도 용인시 수지구 풍덕천로96번길 3-12,37.32121642,127.0936876
김포구래점,경기도 김포시 김포한강9로12번길 97-4,37.64095646,126.6278968
평택소사벌점,경기도 평택시 평남로 1025,37.00947958,127.0974922
과천점,경기도 과천시 새술막길 14,37.42896969,126.9905646
죽전점,경기도 용인시 수지구 현암로 111,37.33193402,127.121657
의정부북부점,경기도 의정부시 평화로 640,37.74912328,127.0452832
권선점,경기도 수원시 권선구 권선로 746,37.25737687,127.0325405
서수원점,경기도 수원시 권선구 호매실로218번길 122,37.26615627,126.961602
갈매점,경기도 구리시 갈매순환로 206,37.63755372,127.1212556
태전점,경기도 광주시 고불로 82,37.39289198,127.2288564
군포송정점,경기도 군포시 송부로33번길 3-23,37.31539015,37.31539015
소답점,경상남도 창원시 의창구 의안로2번길 5,35.26191088,128.6243074
동김해점,경상남도 김해시 인제로 146,35.24170955,128.904211
김해율하점,경상남도 김해시 율하2로 122,35.16919981,128.814138
장유점,경상남도 김해시 능동로 15-1,35.19625018,128.7952894
통영점,경상남도 통영시 중앙로 100-1,34.84194001,128.4201599
마산교방점,경상남도 창원시 마산합포구 북성로 48,35.21164424,128.5721571
창원반송점,경상남도 창원시 성산구 반송로 56,35.24044942,128.6630711
마산교방점,경상남도 창원시 성산구 동산로65번길 46,35.21798278,128.6831434
창원북면점,경상남도 창원시 의창구 북면 천주로 603,35.3096637,128.6019328
