Branch,Location,Latitude,Longitude
부산당감점,부산광역시 부산진구 동평로44번길 62-16,35.163682,129.0351441
부산하단점,부산광역시 사하구 낙동대로474번길 6,35.10711881,35.10711881
부산수정점,부산광역시 동구 망양로668번길 28,35.12610611,129.037916
부산덕천점,부산광역시 북구 만덕대로66번길 27,35.21062722,129.0126644
부산다대점,부산광역시 사하구 다송로72번길 67,35.05992509,128.9804879
부산거제점,부산광역시 연제구 월드컵대로187번길 19,35.1869552,129.0755701
부산연산점,부산광역시 연제구 신금로 25,35.19161796,129.094397
부산전포점,부산광역시 부산진구 동성로 51,35.15511984,129.0682474
부산엄궁점,부산광역시 사상구 엄궁로191번길 57,35.12760397,128.9725209
부산대신점,부산광역시 서구 구덕로 347,35.11470662,129.015184
명륜점,부산광역시 동래구 복천로5번길 34,35.20585197,129.0872628
부산명지점,부산광역시 강서구 명지국제8로 289,35.09794483,128.924491
기장읍점,부산광역시 기장군 기장읍 차성서로 123,35.24470439,35.24470439
사직온천점,부산광역시 동래구 충렬대로126번길 38,35.20435882,129.0737789
봉래점,부산광역시 영도구 태종로95번길 30,35.09286231,129.0421337
부산대연점,부산광역시 남구 수영로219번길 25,35.13623798,129.0902538
부산금곡화명점,부산광역시 북구 화명대로 15,35.23544741,129.0099076
부산용호점,부산광역시 남구 용호로216번길 8,35.11320292,129.1106029
연지점,부산광역시 부산진구 성지로 20,35.17242342,129.0552345
부산정관점,부산광역시 기장군 정관읍 정관로 578,35.32075876,129.1768356
재송점,부산광역시 해운대구 재반로64번다길 30,35.18726128,129.1281232
구포점,부산광역시 북구 백양대로1048번가길 13,35.19845847,128.9974579
반송점,부산광역시 해운대구 신반송로 194,35.23082851,35.23082851
부산주례점,부산광역시 사상구 가야대로366번길 3-8,35.15085293,129.0130098
연제구청점,부산광역시 연제구 중앙천로37번길 19,35.17729289,129.0825898
청주사창점,충청북도 청주시 서원구 예체로 79,36.63330593,127.4685497
청주복대점,충청북도 청주시 흥덕구 진재로 141,36.64368595,127.4310588
제천하소점,충청북도 제천시 용두대로7길 10,37.13514851,128.1984871
충주교현점,충청북도 충주시 갱고개로 58-2,36.97593003,127.9402654
음성금왕점,충청북도 음성군 금왕읍 덕금로 1199,36.99114607,127.5909827
진천점,충청북도 진천군 진천읍 중앙북4길 3,36.85491042,127.4431784
청주가경점,충청북도 청주시 흥덕구 서현중로28번길 16,36.62111737,127.4305762
충북혁신도시1호점,충청북도 음성군 맹동면 사예2길 26,36.9126584,127.5449742
오창1산단점,충청북도 청주시 청원구 오창읍 중심상업로 7,36.71136383,127.4286798
충북증평점,충청북도 증평군 증평읍 증평로 17,36.78748781,127.5879332
청주오송점,충청북도 청주시 흥덕구 오송읍 오송생명5로 184-12,36.63078937,127.3288317
옥산점,충청북도 청주시 흥덕구 옥산면 옥산시내1길 49,36.66434004,127.3767312
서충주점,충청북도 충주시 중앙탑면 원앙9길 10,37.01794602,127.8253224
충북증평점,충청북도 증평군 증평읍 광장로 131,36.78406668,127.5863158
제천청전점,충청북도 제천시 내제로 204,37.14544829,37.14544829
탑대성점,충청북도 청주시 상당구 용담로 28-2,36.63229892,36.63229892
천안신방점,충청남도 천안시 동남구 통정10로 71,36.77393926,127.134192
천안불당점,충청남도 천안시 서북구 불당29길 7-5,36.81046773,127.1019406
천안성환점,충청남도 천안시 서북구 성환읍 성환11길 37,36.91662201,127.1320094
충남계룡점,충청남도 계룡시 엄사면 번영로 77,36.28775364,127.2370343
공주신관점,충청남도 공주시 공주대학로 49-4,36.4701908,127.1377496
천안직산점,충청남도 천안시 서북구 직산읍 삼은4길 18-10,36.87916933,127.1506057
아산온양1호점,충청남도 아산시 삼동로28번길 55-14,36.78259572,127.0166057
논산내동점,충청남도 논산시 시민로132번길 44-6,36.18028077,127.1058191
보령동대점,충청남도 보령시 작은오랏6길 26,36.34570589,126.6038294
홍성점,충청남도 홍성군 홍성읍 홍장북로 419,36.59212405,126.6686667
천안구성점,충청남도 천안시 동남구 구성14길 19,36.79710709,127.1629758
아산음봉점,충청남도 아산시 음봉면 음봉로681번길 17,36.83562654,127.0840116
천안백석점,충청남도 천안시 서북구 한들3로 85-85,36.83083907,127.123148
쌍용점,충청남도 천안시 서북구 쌍용4길 16,36.80188622,127.1221334
천안성거점,충청남도 천안시 서북구 성거읍 성거길 94,36.87358438,127.2016248
아산신창점,충청남도 아산시 신창면 서부북로 887,36.79219862,126.9590146
충남당진점,충청남도 당진시 무수동로 103,36.89013832,126.6368652
충남서산점,충청남도 서산시 율지6로 30,36.77981002,126.462117
충남복운점,충청남도 당진시 송악읍 신복운로7길 24-1,36.94250161,36.94250161
충남예산점,충청남도 예산군 예산읍 산성공원1길 30,36.69271559,126.8332271
당진합덕점,충청남도 당진시 합덕읍 덕평로 553,36.808388,126.7759335
충남부여점,충청남도 부여군 부여읍 사비로 101-1,36.28179778,126.9102896
충남태안점,충청남도 태안군 태안읍 샘골로 35,36.75229419,126.3026916
서산성연점,충청남도 서산시 성연면 성연3로 8-4,36.82035523,36.82035523
내포점,충청남도 홍성군 홍북읍 충남대로 50,36.65557951,36.65557951
테크노폴리스점,대구광역시 달성군 유가읍 테크노상업로4길 18-16,35.69244053,128.4591684
만촌점,대구광역시 수성구 국채보상로 1084,35.86909066,128.6478153
본점,대구광역시 달서구 용산로 9,35.8381921,128.5303852
대구죽전점,대구광역시 달서구 감삼북길 86,35.8521292,128.5439295
대구월성점,대구광역시 달서구 구마로14남길 55,35.83193363,128.533155
대구매천점,대구광역시 북구 매전로4길 10-17,35.9073474,128.5432325
세천점,대구광역시 달성군 다사읍 세천로 119,35.8740563,128.4742451
화원점,대구광역시 달성군 화원읍 화원로 37,35.80720668,128.4982235
방촌점,대구광역시 동구 동촌로46길 13,35.88061126,35.88061126
대구경북대점,대구광역시 북구 대학로 37,35.89062987,128.6050471
서변점,대구광역시 북구 서변로 26,35.91881707,128.5972395
테크노폴리스점,대구광역시 달성군 유가읍 테크노상업로4길 12,35.69280485,128.4605406
금호지구점,대구광역시 북구 한강로6길 15,35.89567897,128.5158252
평리점,대구광역시 서구 평리로 415,35.86681678,128.5681695
율하점,대구광역시 동구 안심로22길 60-5,35.8626559,128.6976005
혁신점,대구광역시 동구 이노밸리로56길 11,35.87721037,128.7267878
대구앞산점,대구광역시 남구 대명로14길 24,35.83803697,128.5644442
대구연경점,대구광역시 북구 연경중앙로8길 3-10,35.94431123,128.6193665
범어점,대구광역시 수성구 동원로 52,35.86358225,128.6396542
옥포점,대구광역시 달성군 옥포읍 돌미상업로1길 7,35.78180323,128.4415077
대구동인점,대구광역시 중구 경상감영길 298,35.87063764,35.87063764
대전정림점,대전광역시 서구 계백로1286번길 107,36.30329496,127.3674017
유천점,대전광역시 중구 계백로1615번길 34,36.32039756,127.3999952
대전관저점,대전광역시 서구 관저북로 15,36.30322793,127.3367378
송강점,대전광역시 유성구 관들3길 77-29,36.42365857,127.3903472
대전도안점,대전광역시 서구 도안북로93번길 25,36.33117695,127.3385838
대전갈마점,대전광역시 서구 갈마로 3,36.35183964,127.3697277
자양점,대전광역시 동구 동대전로 198,36.33919048,127.4490329
서대전점,대전광역시 중구 계룡로 922,36.31969593,127.4148127
대전신탄진점,대전광역시 대덕구 석봉북로 18,36.44896647,127.425099
대전내동점,대전광역시 서구 도솔로245번길 5,36.33193419,127.3772062
대전월평점,대전광역시 서구 대덕대로 319,36.36144187,127.3790883
대전터미널점,대전광역시 동구 동서대로1683번길 19,36.35004369,36.35004369
인제신남점,강원도 인제군 남면 신남로 23,37.96595984,128.0772518
원주우산점,강원도 원주시 우산로 73,37.37015843,127.9367364
원주무실점,강원도 원주시 한지공원길 182,37.33711301,127.9336945
혁신점,강원도 원주시 입춘로 73,37.32651493,127.9809497
삼척남양점,강원도 삼척시 중앙로 199,37.44103032,129.1674605
기업도시점,강원도 원주시 지정면 신지정로 322-1,37.38242546,127.8731504
