Branch,Location,Latitude,Longitude
부산터미널1호점,부산광역시 금정구 중앙대로 2238,35.28470215,129.0955052
부산역점,부산광역시 동구 중앙대로 201,35.11540286,129.0393929
더파크동물원점,부산광역시 부산진구 새싹로 295-1,35.18428951,129.0443975
에이지선수촌점,부산광역시 동구 중앙대로 373,35.1288814,129.0485062
부산대점,부산광역시 금정구 부산대학로 47,35.23118243,129.0860736
키즈마트부산점,부산광역시 부산진구 신천대로 241,35.16332547,129.0493433
덕천점,부산광역시 북구 덕천1길 26,35.20979057,129.0070637
부산용호점,부산광역시 남구 용호로 136-1,35.12016777,129.1119042
부산부암HS점,부산광역시 부산진구 백양산로54번길 13,35.17428668,129.0314691
홈플러스부산연산점,부산광역시 연제구 반송로 88,35.19097833,129.0893595
부산신호점,부산광역시 강서구 신호산단4로 46,35.08546333,128.8779846
당감점,부산광역시 부산진구 당감로 36-1,35.16495128,129.0395509
부산중구점,부산광역시 중구 구덕로 58-1,35.09826258,129.02937
부산엄궁점,부산광역시 사상구 낙동대로 774-1,35.12989337,128.971418
반여점,부산광역시 해운대구 재반로 209,35.19593626,129.130626
남산정역점,부산광역시 북구 만덕3로 21,35.21222427,129.0263912
장림점,부산광역시 사하구 장평로145번길 77,35.08047266,128.9687264
동삼점,부산광역시 영도구 동삼로 25,35.07604506,129.0717881
대연점,부산광역시 남구 수영로 200,35.13471266,129.0884668
부산재송점,부산광역시 해운대구 재반로 86,35.18632739,129.1258046
부산주례역점,부산광역시 사상구 가야대로 316,35.15055847,129.0072443
센텀프라자빌딩점,부산광역시 해운대구 해운대로 407,35.16785373,129.1407202
메가마트동래점,부산광역시 동래구 충렬대로 197,35.20456354,129.0811615
부산해운대좌동점,부산광역시 해운대구 좌동순환로 74,35.1728988,129.1674885
지사점,부산광역시 강서구 과학산단2로 12,35.14986713,128.8310115
부산명지국제신도시점,부산광역시 강서구 명지국제8로 233,35.09855066,128.9183119
창원대점,부산광역시 동래구 시실로 181,35.20815382,129.0998685
광안역점,부산광역시 수영구 수영로 581,35.15767489,129.1128534
문현점,부산광역시 남구 수영로 19,35.13726649,129.0699234
부산전포점,부산광역시 부산진구 전포대로200번길 17,35.15469301,129.0665626
하나로부산점,부산광역시 북구 금곡대로 469,35.2500387,129.0112423
부산서동점,부산광역시 금정구 서동로 159-7,35.21466997,129.1039214
부산연지점,부산광역시 부산진구 새싹로 170,35.17131536,129.0499728
다대점,부산광역시 사하구 다대로 698,35.04860721,128.9653905
송도점,부산광역시 서구 충무대로 14,35.07696475,129.0162624
홈플러스센텀시티점,부산광역시 해운대구 센텀동로 6,35.1709301,129.1337156
부산재송점,부산광역시 해운대구 재반로 86,35.18636395,129.1257502
김해국제공항점,부산광역시 강서구 공항진입로 108,35.17293945,128.9469878
메가마트기장점,부산광역시 기장군 일광면 기장대로 673,35.25471123,129.2218788
해운대백병원점,부산광역시 해운대구 해운대로 875,35.17327898,129.1821932
부산화명점,부산광역시 북구 화명신도시로 127,35.23536935,129.0106207
