Branch,Location,Latitude,Longitude
반여점,부산광역시 해운대구 선수촌로 91,35.20191059,129.119178
다대포점,부산광역시 사하구 다대로 551,35.05700632,128.9712994
덕천2호점,부산광역시 북구 만덕대로 104,35.21264371,129.0162041
양산점,부산광역시 북구 화명신도시로 156,35.23747702,129.0118883
센텀시티점,부산광역시 해운대구 센텀5로 55,35.17297786,129.1316144
화명점,부산광역시 북구 금곡대로199번길 3,35.22658092,129.0106106
부산외대점,부산광역시 금정구 금샘로 464,35.26434213,129.085285
다대포점,부산광역시 사하구 다대로 551,35.05700632,128.9712994
청주지웰시티점,충청북도 청주시 흥덕구 대농로 17,36.64273813,127.4251051
충주점,충청북도 충주시 갱고개로 184,36.98743752,127.9394251
진천점,충청북도 진천군 진천읍 중앙동로 52-1,36.85461132,127.4447394
오창점,충청북도 청주시 청원구 오창읍 과학산업2로 379,36.71604943,127.4229474
금왕점,충청북도 음성군 금왕읍 덕금로 1162,36.98777583,127.5910119
금산점,충청남도 금산군 금산읍 금산로 1516,36.10891132,127.4908199
방배역점,충청남도 계룡시 신도안면 계룡대로 663,36.30026913,127.2198329
단국대천안점,충청남도 천안시 동남구 단대로 119,36.83594503,127.1652099
예산점,충청남도 예산군 예산읍 역전로 116,36.68947611,126.8300311
신방점,충청남도 천안시 동남구 서부대로 247-9,36.79023258,127.1280479
두류점,대구광역시 달서구 달구벌대로 1748,35.8571286,128.5563863
이시아폴리스점,대구광역시 동구 팔공로 250,35.92093917,128.6418775
지산점,대구광역시 수성구 지범로 170,35.82174193,128.6381231
충남대점,대전광역시 유성구 대학로 87,36.36135291,127.3438889
신탄진점,대전광역시 대덕구 대덕대로1627번길 82,36.45457399,127.4273558
서대전점,대전광역시 중구 계백로 1711,36.32186841,127.409406
남원주단관점,강원도 원주시 서원대로 408,37.32997519,127.9500068
오크밸리점,강원도 원주시 지정면 오크밸리1길 70,37.43415037,127.8190375
강원대점,강원도 춘천시 서부대성로 221-1,37.87361095,127.7429581
사내점,강원도 화천군 사내면 사내로4길 30-6,38.07200155,127.5226138
하이원리조트,강원도 정선군 고한읍 하이원길 500,37.20395393,128.8394621
서광주점,광주광역시 서구 월드컵4강로 56,35.14207028,126.8752602
전대점,광주광역시 북구 우치로90번길 5,35.17569322,126.9129135
진월점,광주광역시 남구 서문대로 662-1,35.11824175,126.899284
광주월드컵점,광주광역시 서구 화개1로24번길 10,35.12589872,126.856886
광주남구점,광주광역시 남구 백양로 45,35.13417493,126.9068712
포항양덕점,경상북도 포항시 북구 천마로 63,36.08228885,129.3965326
경주황성점,경상북도 경주시 황성로 7,35.86428799,129.2131963
영주점,경상북도 영주시 대학로 243,36.81738729,128.6044157
문경점,경상북도 문경시 당교로 231,36.58606398,128.1882103
경주중앙점,경상북도 경주시 원효로105번길 10,35.84273402,129.2127462
안동옥동점,경상북도 안동시 복주2길 70,36.56342456,128.7008323
송산금오점,경기도 의정부시 청사로5번길 26,37.74880438,127.0696274
가평점,경기도 가평군 조종면 청군로 1189,37.81137673,127.3514971
모란점,경기도 성남시 중원구 광명로 58,37.43395779,127.1355965
삼성전자점,경기도 화성시 삼성전자로 1,37.22346382,127.063319
용인동백점,경기도 용인시 기흥구 동백중앙로 237,37.27457384,127.1505022
광명사거리역점,경기도 광명시 광명로 891-1,37.47866774,126.8537804
송탄점,경기도 평택시 관광특구로 21,37.0672309,37.0672309
구리토평점,경기도 구리시 장자대로 80,37.58727388,127.1393862
