Branch,Location,Latitude,Longitude
동래점,부산광역시 동래구 온천장로 14,35.21346805,129.0792696
부산남천점,부산광역시 수영구 광안해변로 9,35.13677375,129.1116472
하단점,부산광역시 사하구 낙동남로 1403,35.10660539,128.9652293
부산신세계센텀시티점,부산광역시 해운대구 센텀4로 15,35.16988088,129.1283112
남포점,부산광역시 중구 구덕로 54-1,35.09839471,129.0297336
해운대점,부산광역시 해운대구 해운대해변로 287,35.16046485,129.1622728
덕천점,부산광역시 북구 만덕대로 30,35.21067998,129.0085025
목살하우스,부산광역시 수영구 황령대로481번길 18,35.13937095,129.1075785
청주점,충청북도 청주시 흥덕구 대농로 17,36.64273813,127.4251051
펜타포트점,충청남도 천안시 서북구 공원로 196,36.79892256,127.1017729
딜리버리천안성정점,충청남도 천안시 서북구 성정공원1길 9-4,36.82680933,127.1389661
대전현대아울렛점,대전광역시 유성구 테크노중앙로 123,36.42387165,127.3985979
유성점,대전광역시 유성구 온천로 45,36.35613194,127.3433867
원주점,강원도 원주시 시청로 27,37.34019766,",127.923466675309"
상무점,",광주광역시 서구 상무연하로 41",35.15200931,126.8499469
남포항점,경상북도 포항시 남구 포스코대로 337,36.01830784,129.3607244
원마운트점,경기도 고양시 일산서구 한류월드로 300,37.66454404,126.7545073
부천역사점,경기도 부천시 부천로 1,37.48402908,126.7826342
갤러리아광교점,경기도 수원시 영통구 광교중앙로 124,37.28529378,127.0572528
딜리버리광명점,경기도 광명시 새빛공원로 67,37.41966396,126.888369
김포점,경기도 김포시 고촌읍 아라육로152번길 100,37.59709718,126.7850522
수원역사점,경기도 수원시 팔달구 덕영대로 924,37.26566759,127.0000881
분당서현점,경기도 성남시 분당구 서현로 192,37.38778553,127.1244163
금오점,경기도 의정부시 청사로48번길 25,37.75310722,127.0714006
딜리버리동탄반송점,경기도 화성시 메타폴리스로 53,37.20219431,127.0731797
평촌점,경기도 안양시 동안구 시민대로 214,37.3919148,126.9549459
상동점,경기도 부천시 길주로 111,37.50631961,126.7548676
고잔점,경기도 안산시 단원구 당곡로 11,37.31830181,126.8330017
영통점,경기도 수원시 영통구 봉영로 1613,37.25505871,127.0739416
일산점,경기도 고양시 일산동구 무궁화로 237,37.67384001,126.7871233
동탄점,경기도 화성시 동탄중앙로 220,37.20484922,127.0693057
파주점,경기도 파주시 탄현면 필승로 200,37.76892828,126.6964959
딜리버리권선점,경기도 수원시 권선구 동수원로 232,37.2502487,127.0346832
남양주현대아울렛점,경기도 남양주시 다산순환로 50,37.61624668,127.1524072
딜리버리하남미사점,경기도 하남시 미사강변대로54번길 59,37.55553799,127.1889057
딜리버리산본점,경기도 군포시 산본로 339,37.36060118,126.9325774
딜리버리의정부점,경기도 의정부시 시민로122번길 20,37.73750625,127.0482688
경남진주점,경상남도 진주시 진주대로 864,35.17767877,128.0920352
김해점,경상남도 김해시 내외중앙로 76,35.23673248,128.8674494
거제점,경상남도 거제시 서문로5길 6,34.88918261,128.6210702
양산점,경상남도 양산시 중부로 2,35.33914723,129.0274657
딜리버리계양점,인천광역시 계양구 주부토로 541,37.54255233,126.7280354
송도점,인천광역시 연수구 송도국제대로 157,37.38049687,126.6567749
딜리버리연수송도점,인천광역시 연수구 해돋이로 112,37.39195429,126.6501109
작전점,인천광역시 계양구 계양대로 56,37.52870123,126.7236434
제주점,제주특별자치도 제주시 노형로 407,33.4858042,126.4783548
효자점,전라북도 전주시 완산구 우전로 260,35.81774017,127.1022889
조례점,전라남도 순천시 왕지5길 4,34.97186548,127.5226623
남악점,전라남도 무안군 삼향읍 남악4로 49,34.81000286,126.4655997
여의도점,서울특별시 영등포구 국제금융로8길 6,37.52180107,126.9296855
딜리버리송파점,서울특별시 송파구 오금로 194,37.50818228,127.1153997
딜리버리구로점,서울특별시 구로구 공원로 34,37.50043814,126.8916738
딜리버리등촌점,서울특별시 강서구 공항대로 351-21,37.56059311,126.8476029
동대문점,서울특별시 중구 장충단로13길 20,37.56872364,127.0076538
상봉점,서울특별시 중랑구 망우로 293,37.59654346,127.0851835
딜리버리미아삼양점,서울특별시 강북구 삼양로 247,37.62551033,127.0177294
딜리버리상계점,서울특별시 노원구 상계로27길 12,37.65924083,127.0705876
딜리버리건대입구점,서울특별시 광진구 광나루로 361,37.54842386,127.0697245
미아점,서울특별시 강북구 도봉로 62,37.61458728,127.0305026
합정점,서울특별시 마포구 월드컵로3길 14,37.55160538,126.9117063
신대방점,서울특별시 동작구 보라매로5가길 16,37.49132182,126.924082
노원점,서울특별시 노원구 동일로 1419,37.6553002,127.0599609
본사,서울특별시 강남구 삼성로 508,37.50776325,127.0565885
구파발점,서울특별시 은평구 통일로 1080,37.63922109,126.9175111
센트럴시티점,서울특별시 서초구 사평대로 205,37.50448036,127.0078261
도곡점,서울특별시 강남구 남부순환로 2909,37.4921724,127.0573953
잠실점,서울특별시 송파구 송파대로 466,37.50788029,127.1052122
목동점,서울특별시 양천구 목동동로 293,37.5281659,126.8757526
천호점,서울특별시 강동구 올림픽로 660,37.54017467,127.1245158
강남점,서울특별시 강남구 강남대로 502,37.50712624,127.0236599
서울대점,서울특별시 관악구 남부순환로 1840,37.48035688,126.9542807
신촌점,서울특별시 서대문구 연세로12길 33,37.55911475,126.9388405
타임스퀘어점,서울특별시 영등포구 영중로 15,37.51721267,126.9039142
딜리버리회기점,서울특별시 동대문구 한천로58길 47,37.60074,127.0687564
공항점,서울특별시 강서구 마곡중앙6로 16,37.56039191,126.828987
딜리버리옥수점,서울특별시 성동구 독서당로 194,37.54268026,127.0126499
딜리버리마포점,서울특별시 마포구 서강로9길 19,37.55285671,126.9323085
딜리버리강동점,서울특별시 강동구 상암로 126,37.5461277,127.1363513
딜리버리은평점,서울특별시 은평구 통일로65길 26,37.60902587,126.9281762
삼산점,울산광역시 남구 삼산로 231,35.53887494,129.3326857
