Branch,Location,Latitude,Longitude
센텀시티점,부산광역시 해운대구 센텀동로 25,35.17192472,129.1314571
남구점,부산광역시 남구 용소로64번길 3,35.13153383,129.1010975
부산개금점,부산광역시 부산진구 가야대로 465,35.15351939,129.0228657
부산화명점,부산광역시 북구 금곡대로 175,35.22491359,129.0095024
해운대점,부산광역시 해운대구 해운대해변로 163,35.1581862,129.1507488
광안지점,부산광역시 수영구 수영로 532,35.15319148,129.1122546
하단점,부산광역시 사하구 동매로 35,35.10368169,128.9622223
부산정관점,부산광역시 기장군 정관읍 정관로 570,35.32105636,129.1758941
덕천만덕,부산광역시 북구 만덕대로 141,35.21338474,129.0202661
불당쌍용점,충청남도 천안시 서북구 번영로 100,36.81020184,127.1085224
아산온양점,충청남도 아산시 온천대로 1632,36.77848623,127.0187643
두정점,충청남도 천안시 서북구 성정두정로 70,36.83193307,127.142171
대구달서점,대구광역시 달서구 달구벌대로 1529,35.85020762,128.5342736
대구수성점,대구광역시 수성구 동대구로 220,35.84997466,128.625507
상인점,대구광역시 달서구 월배로 129,35.81558722,128.5282208
삼성라이온즈파크점,대구광역시 수성구 야구전설로 1,35.84114508,128.6812506
침산점,대구광역시 북구 침산로21길 39,35.88612511,128.5865051
시지점,대구광역시 수성구 달구벌대로 3148,35.84145415,35.84145415
대전유성점,대전광역시 유성구 대학로 86,36.36107843,127.3447826
둔산점,대전광역시 서구 둔산로 210,36.35103489,127.3971643
월평점,대전광역시 서구 월평북로 89,36.36243828,127.3783227
원주단구점,강원도 원주시 서원대로 514,37.32450905,127.9595
한솔오크밸리점,강원도 원주시 지정면 오크밸리1길 66,37.43465311,127.8178159
평창대관령점,강원도 평창군 대관령면 송천길 30,37.67096555,128.7114671
춘천점,강원도 춘천시 후석로 342,37.88132803,127.7491155
평창올림픽점,강원도 평창군 대관령면 송천길 30,37.67098241,128.71166
춘천점,강원도 춘천시 후석로 342,37.88132803,127.7491155
한솔오크밸리점,강원도 원주시 지정면 오크밸리2길 56,37.4077213,127.8077372
강릉점,강원도 강릉시 솔올로 25,37.76422908,128.8776131
남춘천점,강원도 춘천시 퇴계로 72,37.86319878,127.7285604
광주상무점,광주광역시 서구 상무대로 988,35.15133161,126.8698868
광주수완,광주광역시 광산구 장신로 176,35.19043619,126.8293561
포항남구점,경상북도 포항시 남구 대이로 169,36.02984489,129.3389987
경주점,경상북도 경주시 용담로 24-8,35.86121002,35.86121002
미사점,경기도 하남시 미사강변대로226번길 33,37.570187,127.1859734
화정점,경기도 고양시 덕양구 중앙로 628,37.62752645,37.62752645
철산점,경기도 광명시 디지털로 24,37.47065837,126.8688366
오리죽전점,경기도 용인시 수지구 현암로 101,37.33197911,127.1204491
망포반월점,경기도 화성시 영통로27번길 1,37.23306465,127.0638426
산본점,경기도 군포시 고산로 529,37.36023059,126.9225133
동백점,경기도 용인시 기흥구 동백5로 17,37.27672839,127.1518875
운정점,경기도 파주시 청암로17번길 33,37.72870063,126.7363607
서수원점,경기도 수원시 권선구 금호로 190,37.27419341,126.9708278
비산점,경기도 안양시 동안구 관악대로 157,37.39912223,126.941654
일산서구점,경기도 고양시 일산서구 일현로 65,37.69283109,126.7634906
수내점,경기도 성남시 분당구 내정로129번길 26,37.37320309,127.114334
오산점,경기도 오산시 경기대로 253,37.14748082,127.0733975
신갈점,경기도 용인시 기흥구 구갈로 92,37.28246936,127.1114852
평촌지점,경기도 안양시 동안구 평촌대로 126,37.38362081,126.9606054
수내점,경기도 성남시 분당구 내정로129번길 26,37.37320309,127.114334
상동점,경기도 부천시 길주로 137,37.50609677,126.7576649
시흥은계점,경기도 시흥시 은계번영길 23,37.43711276,126.8039039
안양만안점,경기도 안양시 만안구 태평로52번길 47,37.39638245,126.9315732
야탑점,경기도 성남시 분당구 매화로 49,37.4119479,127.1335902
고양삼송점,경기도 고양시 덕양구 덕수천1로 64,37.64823451,126.8840078
KT위즈파크점,경기도 수원시 장안구 경수대로 893,37.29851637,127.0113163
김포사우점,경기도 김포시 김포대로 835,37.61922977,126.720602
별내점,경기도 남양주시 별내중앙로 83,37.64991698,127.1201807
수지점,경기도 용인시 수지구 손곡로 113,37.33558074,127.0902989
호평점,경기도 남양주시 호평로 33,37.65637269,127.2428677
성남점,경기도 성남시 중원구 산성대로382번길 3,37.44613058,127.1579692
위례점,경기도 성남시 수정구 위례광장로 45,37.46835773,127.1401408
정발산점,경기도 고양시 일산동구 일산로 456,37.67419958,126.7765752
미사점,경기도 하남시 미사강변대로 212,37.56862863,127.1847338
수원영통점,경기도 수원시 영통구 중부대로 604,37.26734397,127.0813114
평택점,경기도 평택시 만세로 1845,37.00409842,127.1032524
수원권선점,경기도 수원시 영통구 권선로 788-1,37.25612648,127.0372235
성복지점,경기도 용인시 수지구 성복2로76번길 26-3,37.31525966,127.0807624
봉담점,경기도 화성시 봉담읍 참샘길 33,37.21471451,126.9741714
다산점,경기도 남양주시 다산순환로 424,37.61971766,127.1577145
민락점,경기도 의정부시 용민로 192,37.74575699,127.0936643
의정부점,경기도 의정부시 신흥로 193,37.73344679,127.0432155
산본점,경기도 군포시 고산로 529,37.36023059,126.9225133
광교점,경기도 수원시 영통구 센트럴타운로 107,37.29260066,127.0481276
남양주점,경기도 남양주시 진접읍 해밀예당3로 93,37.71798887,127.1970288
성남모란점,경기도 성남시 수정구 제일로 145,37.439412,127.1322792
동두천점,경기도 동두천시 중앙로 116,37.89179302,127.0524823
이천점,경기도 이천시 구만리로 191,37.27427408,127.4544367
부천송내점,경기도 부천시 경인로 156,37.48369157,126.7726558
마석점,경기도 남양주시 화도읍 비룡로55번길 3-37,37.65551247,127.300563
용인점,경기도 용인시 처인구 명지로40번길 9,37.23228329,127.1874678
오포신현점,경기도 광주시 오포읍 신현로 42,37.36035677,127.151636
광명소하점,경기도 광명시 하안로 108,37.44775858,37.44775858
거제옥포점,경상남도 거제시 옥포로 170,34.89020463,128.6922131
거제점,경상남도 거제시 장평로8길 23,34.89248454,128.6098807
마산합포점,경상남도 창원시 마산합포구 자산삼거리로 43-1,35.20477648,128.5642454
창원상남점,경상남도 창원시 성산구 마디미로3번길 17,35.22298867,128.6873816
진해점,경상남도 창원시 진해구 충장로 505,35.14419677,128.7013473
율하점,경상남도 김해시 율하1로 85,35.17444811,128.813828
인천연수점,인천광역시 연수구 청능대로 93,37.41430966,126.6756573
송도점,인천광역시 연수구 컨벤시아대로 69,37.39554704,126.6506902
인천서구점,인천광역시 서구 여우재로 119,37.48994348,126.6854385
계양점,인천광역시 계양구 계양문화로 119,37.54167692,126.7388227
인천논현점,인천광역시 남동구 소래역남로 40,37.40003494,126.732165
