Branch,Location,Latitude,Longitude
화명3호점,부산광역시 북구 금곡대로 414,35.24522776,129.0131054
부산학장점,부산광역시 사상구 학감대로191번길 9,35.14813108,128.9878552
부산진역점,부산광역시 동구 중앙대로 377,35.12918528,129.0488064
대연점,부산광역시 남구 수영로 274,35.13555977,129.0964882
망미점,부산광역시 수영구 과정로 58-1,35.17660716,129.1075893
화명3호점,부산광역시 북구 금곡대로 414,35.24522776,129.0131054
부산개금점,부산광역시 부산진구 가야대로 489,35.15348672,129.025664
부산진역점,부산광역시 동구 중앙대로 377,35.12918528,129.0488064
부산다대포2호점,부산광역시 사하구 윤공단로 123,35.06128873,128.9745842
부산명장점,부산광역시 동래구 반송로 348,35.20994862,129.1047032
온천역점,부산광역시 동래구 온천장로 96,35.21953211,129.0835568
부산반송점,부산광역시 해운대구 아랫반송로21번길 28,35.22607095,129.1486417
센텀점,부산광역시 해운대구 센텀3로 26,35.16716446,129.1334877
부산정관점,부산광역시 기장군 정관읍 정관로 595,35.32075472,129.179101
부산부암점,부산광역시 부산진구 새싹로 95,35.16521542,129.0528033
괴정점,부산광역시 사하구 사하로 162,35.09611576,128.9938957
덕천역점,부산광역시 북구 만덕대로 12,35.21015565,129.0065191
동아대점,부산광역시 사하구 낙동대로 542,35.11247729,128.964761
신해운대점,부산광역시 해운대구 좌동순환로 308,35.16869613,129.1825879
부산보수점,부산광역시 중구 대청로 27,35.10341949,129.0228756
영도점,부산광역시 영도구 동삼북로 20,35.08209412,129.0706939
지오플레이스점,부산광역시 부산진구 동천로 4,35.14945138,129.0640029
용호3호점,부산광역시 남구 용호로 124,35.12135705,129.1119643
괴정2점,부산광역시 사하구 사하로 162,35.09611576,128.9938957
부산정관점,부산광역시 기장군 정관읍 정관로 595,35.32075472,129.179101
연산점,부산광역시 연제구 중앙대로 1174,35.19254755,129.0812219
개금점,부산광역시 부산진구 가야대로 489,35.15348672,129.025664
보수점,부산광역시 중구 대청로 27,35.10341949,129.0228756
부암점,부산광역시 부산진구 새싹로 95,35.16521542,129.0528033
