Branch,Location,Latitude,Longitude
센텀시티홈플러스점,부산광역시 해운대구 센텀동로 6,35.1709301,129.1337156
부산서면점,부산광역시 부산진구 중앙대로 654,35.1510044,129.0595893
광안점,부산광역시 수영구 광안해변로 11,35.1370327,129.111914
현대백화점충청점,충청북도 청주시 흥덕구 직지대로 308,36.64486295,127.4265543
대구수성교점,대구광역시 중구 달구벌대로 2232,35.86183896,128.6073749
대구죽전점,대구광역시 달서구 달구벌대로 1545,35.85037975,128.5361015
충장로점,광주광역시 동구 천변우로 421,35.14433455,126.9149987
안양비산점,경기도 안양시 동안구 관악대로 201,37.40000827,126.9460238
아주대점,경기도 수원시 팔달구 중부대로 233,37.27583341,127.0416747
김포사우점,경기도 김포시 돌문로 43,37.61885696,126.7177992
동탄메타폴리스점,경기도 화성시 동탄중앙로 220,37.20484922,127.0693057
의정부이마트점,경기도 의정부시 민락로 210,37.74317439,127.1023418
수원역점,경기도 수원시 팔달구 덕영대로 924,37.26566759,127.0000881
죽전점,경기도 용인시 수지구 용구대로 2746,37.33060013,127.1095646
중동소풍점,경기도 부천시 송내대로 239,37.50413128,126.7566909
비산점,경기도 안양시 동안구 관악대로 201,37.40000827,126.9460238
수지죽전점,경기도 용인시 수지구 용구대로 2746,37.33060013,127.1095646
아주대점,경기도 수원시 팔달구 중부대로 233,37.27583341,127.0416747
일산점,경기도 고양시 일산동구 중앙로 1219,37.65534595,126.7752754
판교점,경기도 성남시 분당구 동판교로177번길 25,37.39731008,127.1135534
얌딜리버리동탄점,경기도 화성시 동탄원천로 338-7,37.21726482,127.0588437
얌딜리버리수원권선점,경기도 수원시 권선구 동수원로 232,37.2502487,127.0346832
인천연수점,인천광역시 연수구 청능대로 210,37.40598276,126.6836088
EXPRESS인천공항입국점,인천광역시 중구 공항로 187,37.45833126,126.4276898
인천연수점,인천광역시 연수구 청능대로 210,37.40598276,126.6836088
인천예술회관역점,인천광역시 남동구 인주대로 556,37.44985694,126.6984931
제주연동점,제주특별자치도 제주시 연삼로 2,33.49347998,126.4926502
전주점,전라북도 전주시 완산구 백제대로 382,35.82745764,127.1232298
목포점,전라남도 목포시 백년대로 400,34.80803437,126.4299984
순천점,전라남도 순천시 백강로 336,34.96323649,127.5221539
대방역점,서울특별시 동작구 노량진로 2,37.51222327,126.9257502
등촌점,서울특별시 강서구 공항대로 311,37.55853064,126.8421679
올림픽공원점,서울특별시 송파구 올림픽로 424,37.52034939,127.1157765
올림픽점,서울특별시 강동구 강동대로 143-8,37.5268527,127.1227142
어린이대공원점,서울특별시 광진구 광나루로 410,37.54656407,127.0749986
도곡역점,서울특별시 강남구 남부순환로 2912,37.49069353,127.0561248
반포역점,서울특별시 서초구 나루터로4길 61,37.50861449,127.0119225
청담점,서울특별시 강남구 학동로 519,37.52017959,127.0554367
홍대점,서울특별시 마포구 양화로 176,37.55724124,126.9249684
코리아,서울특별시 강남구 학동로45길 3,37.51650503,127.0377909
올림픽공원점,서울특별시 송파구 올림픽로 424,37.52034939,127.1157765
올림픽점,서울특별시 강동구 강동대로 143-8,37.5268527,127.1227142
쌍림점,서울특별시 중구 동호로 330,37.56396494,127.0032345
대방점,서울특별시 동작구 노량진로 2,37.51222327,126.9257502
반포역점,서울특별시 서초구 나루터로4길 61,37.50958236,127.013448
도곡역점,서울특별시 강남구 남부순환로 2912,37.49069353,127.0561248
합정역점,서울특별시 마포구 월드컵로1길 14,37.5500407,126.9120459
딜리버리서초점,서울특별시 서초구 서초대로 350,37.49523527,127.0196644
얌딜리버리상봉점,서울특별시 중랑구 동일로114길 54,37.59372637,127.0832703
얌딜리버리관악점,서울특별시 관악구 청림6길 3,37.48755204,126.9599247
얌딜리버리구로점,서울특별시 구로구 공원로 34,37.50043814,126.8916738
얌딜리버리강동점,서울특별시 강동구 상암로 126,37.5461277,127.1363513
얌딜리버리상계점,서울특별시 노원구 상계로27길 12,37.65924083,127.0705876
